"gmt_time","hk_time","subject"
"2018-11-09 21:05:00","2018-11-10 05:05:00","RANsquawk Central Bank Weekly 9 November"
"2018-11-09 21:05:00","2018-11-10 05:05:00","RANsquawk Week in Focus; week commencing 12 November 2018"
"2018-11-09 21:02:00","2018-11-10 05:02:00","US MARKET WRAP – 9th November 2018: WTI sees tenth day of losses"
"2018-11-09 20:59:00","2018-11-10 04:59:00","Brexit negotiators say draft treaty is close, FT reports, both sides aiming for political approval next week"
"2018-11-09 20:00:00","2018-11-10 04:00:00","Campbell’s (CPB) cookie unit Arnott’s attracts attention from Kraft Heinz (KHC), Mondelez (MDLZ); sale process in early stages - sources "
"2018-11-09 19:38:00","2018-11-10 03:38:00","Mexico President-Elect AMLO says he will not change banking laws, and does not intend to make changes to legal framework in financial sector during the first period of his administration, and will not make any fiscal or economic changes in his first 3yrs"
"2018-11-09 19:32:00","2018-11-10 03:32:00","WTI futures (Z8) settle 48c lower at USD 60.19/bbl; Brent (F9) settles 47c lower at USD 70.18/bbl"
"2018-11-09 19:27:00","2018-11-10 03:27:00","Third Point took stake in American Express (AXP) in Q3, according to its quarterly letter; Third Point said to see AXP shares rising to USD 135.00 within 18 months"
"2018-11-09 19:23:00","2018-11-10 03:23:00","PG&E (PCG) says 25k customers currently without power due to camp fire"
"2018-11-09 18:10:00","2018-11-10 02:10:00","Federal prosectors reportedly have gathered evidence that US President Trump participated in hush money payments to Stormy Daniels and Karen McDougal, which would violate campaign laws, WSJ reports"
"2018-11-09 18:03:00","2018-11-10 02:03:00","EU to require more movement from the UK on Brexit backstop; EU Commission briefed EU27 representatives, Brexit negotiations to continue over the weekend"
"2018-11-09 18:00:00","2018-11-10 02:00:00","Baker Hughes Rig Count (09/Nov): Oil rigs up 12 at 886, gas rigs up 2 at 195, total rigs up 14 at 1081"
"2018-11-09 17:47:00","2018-11-10 01:47:00","Chinese Official Yang says China has committed itself to working with the US in a non-confrontational way"
"2018-11-09 17:44:00","2018-11-10 01:44:00","CNBC's Najarian note unusal options activity in Colgate-Palmolive (CL)"
"2018-11-09 17:42:00","2018-11-10 01:42:00","US Secretary of State Pompeo says US is seeking friendly and constructive dialogue with China"
"2018-11-09 17:36:00","2018-11-10 01:36:00","CNBC reports: Trump is telling people he wants to replace Commerce Secretary Wilbur Ross by the end of the year"
"2018-11-09 17:08:00","2018-11-10 01:08:00","Canada Resource Sohi says Canadian government still supports Keystone XL; Canadian approval still remains valid; Canada disappointed by US court ruling on Keystone"
"2018-11-09 17:02:00","2018-11-10 01:02:00","DUP’s Foster says cannot support PM May's proposal in current form "
"2018-11-09 16:38:00","2018-11-10 00:38:00","UK PM May says we will not have a second referendum under any circumstances, BBC"
"2018-11-09 16:36:00","2018-11-10 00:36:00","ITV's Editor Preston tweets "" Barnier's Brexit negotiating  team is beginning talks with EU27 on possible shape of deal, I understand. Coreper officials about to be briefed. Deal by no means done, I understand."""
