"gmt_time","hk_time","subject"
"2018-03-12 23:59:00","2018-03-13 07:59:00","China parliamentary documents state that China is to reform tax system"
"2018-03-12 23:54:00","2018-03-13 07:54:00","China proposes to give some functions to PBoC from CBRC and CIRC, as well as merge the insurance and banking regulatory agencies"
"2018-03-12 23:48:00","2018-03-13 07:48:00","Japanese Finance Minister Aso says documents related to land sale seemed to have been falsified to fit Sagawa's testimony"
"2018-03-12 23:46:00","2018-03-13 07:46:00","RBNZ Acting Governor Spencer to review macroprudential policy with Treasury and is keen to see it develop as a stable policy"
"2018-03-12 23:34:00","2018-03-13 07:34:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: LG Electronics (066570 KS) is to supply auto parts to BMW"
"2018-03-12 22:59:00","2018-03-13 06:59:00","US Democrat Rep. Schiff disputes Republican findings and says clear and overwhelming evidence backs view that Russia sought to boost Trump in election"
"2018-03-12 22:56:00","2018-03-13 06:56:00","US President Trump spoke with Canadian PM Trudeau regarding tariffs and stressed importance of quickly concluding NAFTA negotiations"
"2018-03-12 22:51:00","2018-03-13 06:51:00","PRE-MARKET AUSTRALIAN STOCK NEWS:  Woodside Petroleum (WPL AT) and BHP (BHP AT) reach agreement on development of Scarborough gas field"
"2018-03-12 22:30:00","2018-03-13 06:30:00","US President Trump issues order stating that Broadcom (BRCM) takeover of Qualcomm (QCOM) is prohibited, adds any merger, acquisition or takeover substantially equivalent to the proposed deal is also prohibited"
"2018-03-12 22:30:00","2018-03-13 06:30:00","Australian ANZ Roy Morgan Consumer Confidence (Mar 11) 116.0 (Prev. 119.0)"
"2018-03-12 22:14:00","2018-03-13 06:14:00","All clear given at the White House following an earlier lockdown due to a suspicious package"
"2018-03-12 22:12:00","2018-03-13 06:12:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights Include Australian Home Loans, Business Confidence and Business Conditions"
"2018-03-12 22:07:00","2018-03-13 06:07:00","US House panel finds no evidence of collusion between Trump campaign and Russia in 2016 US election, according to Rep. Conaway"
"2018-03-12 22:00:00","2018-03-13 06:00:00","US SERVICE IS NOW CLOSED, PLEASE SWITCH OVER TO THE ASIA CHANNEL"
"2018-03-12 22:00:00","2018-03-13 06:00:00","US SERVICE IS NOW CLOSED, PLEASE SWITCH OVER TO THE ASIA CHANNEL"
"2018-03-12 22:00:00","2018-03-13 06:00:00","DAILY ASIA-PAC OPENING NEWS"
"2018-03-12 21:55:00","2018-03-13 05:55:00","Twitter reports note that White House is on lockdown due to a suspicious package"
"2018-03-12 21:20:00","2018-03-13 05:20:00","Sources report that conservative commentator Kudlow has emerged as a strong contender to be Gary Cohn's replacement"
"2018-03-12 21:05:00","2018-03-13 05:05:00","General Dynamics (GD) receives USD 696mln contract from US Navy"
"2018-03-12 21:02:00","2018-03-13 05:02:00","Euro zone creditors are to release new loans to Greece this month and are working on debt relief"
"2018-03-12 21:00:00","2018-03-13 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION, ALTHOUGH WE WILL CONTINUE TO BROADCAST ACROSS ALL MAIN CHANNELS FOR THE NEXT HOUR DUE TO US TIME CHANGES OVER THE WEEKEND"
"2018-03-12 20:43:00","2018-03-13 04:43:00","NK Leader Kim reportedly wants to sign a peace treaty with the US, and establish diplomatic relations, including a US embassy in Pyongyang"
"2018-03-12 20:07:00","2018-03-13 04:07:00","UBS Weekly FX Flow report: Swings to JPY outflows"
"2018-03-12 20:00:00","2018-03-13 04:00:00","US MARKET WRAP: Equities mixed, oil down; US CPI on Tuesday"
"2018-03-12 19:55:00","2018-03-13 03:55:00","Amazon (AMZN) reportedly plans to offer credit card product for small business users, of note for American Express (AXP)"
"2018-03-12 19:13:00","2018-03-13 03:13:00","UK Trade Minister Fox says EU will coordinate UK's response to tariffs "
"2018-03-12 19:11:00","2018-03-13 03:11:00","Hilton Grand Vacations (HGV) - HNA are in talks to sell some or all of its stake in the co.  "
"2018-03-12 18:32:00","2018-03-13 02:32:00","WTI crude futures settle at USD 61.36, down USD 0.68; Brent crude futures settle at USD 64.95, down USD 0.54"
"2018-03-12 18:19:00","2018-03-13 02:19:00","Canada PM Trudeau says 'we were never willing to walk away from NAFTA talks'"
"2018-03-12 18:14:00","2018-03-13 02:14:00","Workers at Libya's Zawiya oil port said to halt loadings"
"2018-03-12 18:13:00","2018-03-13 02:13:00","US total shale oil production for April forecast to rise 131k at 6.954mln BPD (Prev. +105k BPD in March)"
"2018-03-12 17:48:00","2018-03-13 01:48:00","Canadian PM Trudeau says Canada will have to see what needs to be done if the US imposes tariffs"
"2018-03-12 17:42:00","2018-03-13 01:42:00","Canadian PM Trudeau says Canada will continue to press the US to gain a permanent exemption to the tariffs  "
"2018-03-12 17:23:00","2018-03-13 01:23:00","Negotiations are currently taking place to end strike action at Zawiya, a Libyan oil port which delayed loading activity today, according to sources "
"2018-03-12 17:03:00","2018-03-13 01:03:00","US Sells USD 21bln in 10yr notes; On the screws "
"2018-03-12 16:57:00","2018-03-13 00:57:00","Eurogroup head Centeno notes the Eurozone ministers agree that in regards to exchange rate matters, verbal discipline is needed  "
"2018-03-12 16:39:00","2018-03-13 00:39:00","Order book for Campbell Soup (CPB) seven-part USD offering said to exceed USD 10.5bln"
"2018-03-12 16:37:00","2018-03-13 00:37:00","US President Trump says he is very serious on part 2 of tax reform "
"2018-03-12 16:30:00","2018-03-13 00:30:00","EUROPEAN PRELIMINARY CASH EQUITY CLOSE: EURO STOXX 50 (+0.45%), FTSE 100 (-0.18%), DAX (+0.60%), CAC (+0.00%), IBEX (+0.43%), FTSE MIB (+0.08%), SMI (+0.42%) "
"2018-03-12 16:27:00","2018-03-13 00:27:00","Apple (AAPL) said they would rather build a studio instead of purchase Netflix (NFLX)"
"2018-03-12 16:19:00","2018-03-13 00:19:00","ITV’s Robert Peston reports UK PM May is poised to concede to the EU’s demand that the transition to full exit from the implementation period will end on December 21st 2020, a few months early than she had initially hoped "
"2018-03-12 16:14:00","2018-03-13 00:14:00","Atlantia (ATL IM) and Abertis (ABE SM) working to reach a deal in the coming days, sources report"
"2018-03-12 16:09:00","2018-03-13 00:09:00","Boeing (BA) finalises deal for up to 30 787 Dremliners with Turkish Airlines"
"2018-03-12 15:35:00","2018-03-12 23:35:00","According to CNBC's Cramer, Larry Kudlow is the leading candidate would take NEC job if offered to him "
"2018-03-12 15:33:00","2018-03-12 23:33:00","US Sells 28bln in 3yr notes, Stop through 0.2bps"
"2018-03-12 15:32:00","2018-03-12 23:32:00","Daily FX Wrap: mundane Monday after frantic Friday"
"2018-03-12 15:27:00","2018-03-12 23:27:00","GKN (GKN LN) has rejected Melrose (MRO LN) revised and final offer "
"2018-03-12 15:24:00","2018-03-12 23:24:00","Russia is to implement measures in response to US steel tariffs"
"2018-03-12 15:23:00","2018-03-12 23:23:00","Japanese Finance Minister Aso is said to be planning to skip G20, according to Kyodo"
"2018-03-12 15:20:00","2018-03-12 23:20:00","US to sell USD 28bln 3-year notes at 1530 GMT (1130 eastern time)"
"2018-03-12 15:11:00","2018-03-12 23:11:00","Marathon Galveston Bay refinery (571,000 Bpd) in Texas preparing to close alkyation unit for work, also completes multi-unit overhaul"
"2018-03-12 15:04:00","2018-03-12 23:04:00","US mortgage insurers trade lower on the day and they report Amazon (AMZN) is looking to get into mortgage lending business"
"2018-03-12 15:04:00","2018-03-12 23:04:00","Italy's Democratic party is to remain in opposition, according to Deputy Secretary Martina "
"2018-03-12 15:00:00","2018-03-12 23:00:00","NY Fed survey - expectations of inflation rise. One year rises from 2.71% to 2.83% and three year rises to 2.88% from 2.79%"
"2018-03-12 14:49:00","2018-03-12 22:49:00","ECB's Sovereign Bond Buys (PSPP) 6.233B (Prev. 5.291B)"
"2018-03-12 14:49:00","2018-03-12 22:49:00","BoE offer to cover ratio for GBP 1.22 bln 3-7yr Buyback: 3.34  (Prev. 2.41)"
"2018-03-12 14:17:00","2018-03-12 22:17:00","UK Parliament reports the police is investigating potential suspicious substance situation"
"2018-03-12 14:09:00","2018-03-12 22:09:00"," French Finance Minister Le Maire says EU reaction to US on trade must be strong and united"
"2018-03-12 14:07:00","2018-03-12 22:07:00","EU DEBT LATEST: Bunds extending their outperformance"
"2018-03-12 14:06:00","2018-03-12 22:06:00","EU Commissioner Moscovici notes the EU must be ready for trade counter measures "
"2018-03-12 14:02:00","2018-03-12 22:02:00","Large coker refinery at Motiva Port Arthur Texas refinery restarts circulation, is preparing to resume production"
"2018-03-12 13:54:00","2018-03-12 21:54:00","Citron Research cautious on Netflix (NFLX) saying the stock can be shorted back to USD 300"
"2018-03-12 13:52:00","2018-03-12 21:52:00","PBF Chamlette Louisiana refinery hydrotreater is back in operation following its upset on Saturday, according to sources "
"2018-03-12 13:45:00","2018-03-12 21:45:00","Broadcom (AVGO) / Qualcomm (QCOM) - US Treasury has said the CFIUS may consider taking further action against Broadcom including a referral of the transaction to US President Trump "
"2018-03-12 13:45:00","2018-03-12 21:45:00","Broadcom (AVGO) / Qualcomm (QCOM) - US Treasury has said the CFIUS may consider taking further action against Broadcom including a referral of the transaction to US President Trump "
"2018-03-12 13:27:00","2018-03-12 21:27:00","Additional US equities stories post-the release of the Daily US Equity Opening News "
"2018-03-12 13:18:00","2018-03-12 21:18:00","BP's Blending oil unit in Whiting Indiana restarts, according to newswires sources"
"2018-03-12 12:53:00","2018-03-12 20:53:00","RANsquawk Daily US Equity Opening News - 12th March 2018 "
"2018-03-12 12:36:00","2018-03-12 20:36:00","UK Junior Brexit Minister Walker says very close to deal in regards to Brexit implementation period"
"2018-03-12 12:31:00","2018-03-12 20:31:00","US to sell USD 21bln 10-year notes at 1700 GMT (1300 eastern time)."
"2018-03-12 12:22:00","2018-03-12 20:22:00","US President Trump tweets the Secretary of Commerce Ross is to speak with the EU to discuss eliminating tariffs against the US"
"2018-03-12 12:18:00","2018-03-12 20:18:00","German’s Merkel favours talks with the US regarding trade "
"2018-03-12 12:06:00","2018-03-12 20:06:00","UBS says EURGBP could fall to 0.85 if transitional deal struck at the 22-23 March EU Leaders Summit"
"2018-03-12 12:05:00","2018-03-12 20:05:00","Scotiabank FX Daily - FX Quiet To Start The Week; CAD & MXN Underperforming"
"2018-03-12 12:00:00","2018-03-12 20:00:00","Atlantia (ATL IM) said to agree on preliminary deal for Abertis (ABE SM)"
"2018-03-12 11:56:00","2018-03-12 19:56:00","Agenda for this week's Brexit talks"
"2018-03-12 11:46:00","2018-03-12 19:46:00","German Chancellor Merkel, when asked if Germany wants the next ECB Chief to be German, she said it will be dealt with at an appropriate time"
"2018-03-12 11:36:00","2018-03-12 19:36:00","Bond Auction Previews: 12th March 2018 - Now available in the Research Suite"
"2018-03-12 11:23:00","2018-03-12 19:23:00","ECB's Smets says Euro Zone inflation may take longer to reach ECB objective as output gap could take longer to close than anticipated, adding that FX volatility is still as much in focus as before"
"2018-03-12 11:21:00","2018-03-12 19:21:00","UK PM May spokesman says that the UK still expects to secure a transition agreement at EU summit"
"2018-03-12 10:42:00","2018-03-12 18:42:00","DAILY US OPENING NEWS: DAX outperforms amid multi-billion revamp in German utility sector, while USD-index hovers around 90, having trimmed earlier losses."
"2018-03-12 10:16:00","2018-03-12 18:16:00","EU MID-SESSION UPDATE: European equities follow the lead from Asia and Wall St. after a goldilocks backdrop is set for stocks"
"2018-03-12 10:00:00","2018-03-12 18:00:00","Volkswagen (VOW3 GY) Audi February sales +4.6% Y/Y, +12.4% M/M"
"2018-03-12 09:44:00","2018-03-12 17:44:00","Canadian Finance Minister states that they are cautiously optimistic that they can get there on NAFTA"
"2018-03-12 09:38:00","2018-03-12 17:38:00","Hotchtief (HOT GY) says in Abertis (ABE SM) prospectus that they would offload Cellnex (CLNX SM) shares if the offer is successful, in order to not have to launch a separate takeover bid"
"2018-03-12 09:29:00","2018-03-12 17:29:00","Fixed Income: some range extension to the upside"
"2018-03-12 09:23:00","2018-03-12 17:23:00","German court states that it was illegal for RWE (RWE GY) to cancel power contracts for Uniper's (UN01 GY) Datteln 4 plant"
"2018-03-12 09:16:00","2018-03-12 17:16:00","Sixt (SIX2 GY) are to propose FY 17 dividend of EUR 1.95/shr and an additional special dividend of EUR 2.05/shr"
"2018-03-12 09:00:00","2018-03-12 17:00:00","ASIA-PAC SERVICE HAS NOW FINISHED, PLEASE REVERT BACK TO YOUR ORIGINAL CHANNEL FOR COVERAGE ON THE UK & EUROPEAN SESSION"
"2018-03-12 08:57:00","2018-03-12 16:57:00","Riksbank Governor Ingves says the central bank can technically lower the repo rate "
"2018-03-12 08:55:00","2018-03-12 16:55:00","FX Morning Colour: Dollar broadly softer as DXY dips below 90.000 again"
"2018-03-12 08:51:00","2018-03-12 16:51:00","Russian Finance Minister Siluanov sees case for sharp RUB currency fluctuations"
