"gmt_time","hk_time","subject"
"2018-12-27 22:00:00","2018-12-28 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2018-12-27 18:00:00","2018-12-28 02:00:00","CHRISTMAS PERIOD OPENING HOURS  "
"2018-12-27 13:00:00","2018-12-27 21:00:00","RANSQUAWK CHRISTMAS PERIOD OPENING HOURS"
"2018-12-27 10:00:00","2018-12-27 18:00:00","DESK CHRISTMAS PERIOD OPENING HOURS"
"2018-12-27 09:00:00","2018-12-27 17:00:00","ASIA-PAC SERVICE HAS NOW FINISHED, PLEASE REVERT BACK TO YOUR ORIGINAL CHANNEL FOR COVERAGE ON THE UK & EUROPEAN SESSION"
"2018-12-27 06:45:00","2018-12-27 14:45:00","RANSQUAWK CHRISTMAS PERIOD OPENING HOURS"
