"gmt_time","hk_time","subject"
"2018-01-05 22:00:00","2018-01-06 06:00:00","US SERVICE IS NOW CLOSED, PLEASE SWITCH OVER TO THE ASIA CHANNEL"
"2018-01-05 21:30:00","2018-01-06 05:30:00","AUDIO SERVICE HAS NOW CLOSED FOR THE WEEK. THE ASIA DESK WILL REOPEN ON SUNDAY AT 2200GMT, EUROPEAN SERVICE WILL RESUME ON MONDAY AT 0630GMT. HAVE A PLEASANT WEEKEND."
"2018-01-05 21:15:00","2018-01-06 05:15:00","PREVIEW: RANsquawk Week In Focus W/C 7 Jan 2018"
"2018-01-05 21:00:00","2018-01-06 05:00:00","US MARKET WRAP: Stocks print fresh highs despite NFP miss"
"2018-01-05 20:23:00","2018-01-06 04:23:00","Fed's Mester would be happy with three/four hikes in 2018, calls for gradual hikes"
"2018-01-05 20:16:00","2018-01-06 04:16:00","Fed's Mester (voter) says the December jobs report was pretty strong, says US is at full employment"
"2018-01-05 19:45:00","2018-01-06 03:45:00","Brent future settle 45 cents lower at USD 67.62 per barrel"
"2018-01-05 19:37:00","2018-01-06 03:37:00","EU's Juncker says Brexit Talks Will Be ‘Exceptionally Difficult’ "
"2018-01-05 19:31:00","2018-01-06 03:31:00","WTI furutres settle 57 cents lower at USD 61.44 per barrel"
"2018-01-05 18:59:00","2018-01-06 02:59:00","Goldman Sachs leaves its Q4 GDP tracking estimate unchanged after at +2.5% (qoq ar) after today's non-manufacturing ISM and Factory Orders data"
"2018-01-05 18:01:00","2018-01-06 02:01:00","Baker Hughes Oil Rig Count (5/Jan): -5 to 742"
"2018-01-05 17:55:00","2018-01-06 01:55:00","Fed's Harker says it could take some time for the next Fed rate hike, lack of wage pressure behind his caution"
"2018-01-05 17:53:00","2018-01-06 01:53:00","Boeing (BA) reportedly reaches deal to acquire Embraer (ERJ) for USD 28/shr"
"2018-01-05 17:31:00","2018-01-06 01:31:00","Fed’s Mester (Voter, Hawk) says economic expansion is firmly in place and that labour markets are strong, also expects inflation to rise sustainably to 2% goal over the next couple years "
"2018-01-05 17:00:00","2018-01-06 01:00:00","Weekly US Earnings Estimates - Now Available in the Research Suite"
"2018-01-05 16:36:00","2018-01-06 00:36:00","Melvin Capital disclose a 5% passive stake in Electronic Art's (EA) as of January 5th "
"2018-01-05 16:33:00","2018-01-06 00:33:00","EUROPEAN PRELIMINARY CASH EQUITY CLOSE: FTSE 100 (+0.36%), EURO STOXX 50 (+0.99%), DAX (+1.11%), CAC (+0.95%), IBEX (+0.93%), FTSE MIB (+1.00%)"
"2018-01-05 16:17:00","2018-01-06 00:17:00","New York Fed Q4 GDP Nowcast 4.0% (Prev. 3.9%)"
"2018-01-05 16:07:00","2018-01-06 00:07:00","Conflicting reports on social media regarding the latest Japanese earthquake with some suggesting a tsunami warning has been issued although the Japan Times denies this"
"2018-01-05 15:59:00","2018-01-05 23:59:00","Atlanta Fed GDP now Q4 tracker 2.7% (Prev. 3.2%)"
"2018-01-05 15:55:00","2018-01-05 23:55:00","Reports of earthquake in Tokyo. Updates to follow"
"2018-01-05 15:32:00","2018-01-05 23:32:00","FX Weekly Wrap: Dollar displaying some resilience despite US payroll miss"
"2018-01-05 15:30:00","2018-01-05 23:30:00","Barclays US Q4 GDP tracker 2.5% (Prev. 2.6%) citing wider-than-expected November trade deficit"
"2018-01-05 15:15:00","2018-01-05 23:15:00","Fed's Harker says two hikes in 2018 is appropriate "
"2018-01-05 15:07:00","2018-01-05 23:07:00","CBS (CBS) All Access has launched ability for Amazon (AMZN) Prime members to add CBS channels to Prime membership"
"2018-01-05 15:05:00","2018-01-05 23:05:00","Deutsche Bank (DBK GY) expect to see a EUR 1.4bln charge as a result of US tax reform "
