"gmt_time","hk_time","subject"
"2018-06-24 23:57:00","2018-06-25 07:57:00","US President Trump is said to be planning new restrictions on tech exports to China and Chinese investment, with an announcement expected by end of the week, according to WSJ"
"2018-06-24 23:50:00","2018-06-25 07:50:00","BoJ Summary of Opinions from June 14th-15th meeting states it is appropriate to pursue powerful monetary easing with persistence under the current guideline as inflation a long way to price target"
"2018-06-24 23:48:00","2018-06-25 07:48:00","APN Outdoor (APO AT) requests trading halt pending announcement related to JC Decaux (DEC FP) offer"
"2018-06-24 23:34:00","2018-06-25 07:34:00","PRE-MARKET AUSTRALIAN, JAPANESE AND SOUTH KOREAN STOCK NEWS: CBA to demerge wealth management and mortgage broking units; oOh!Media wins race for HT&E’s Adshel business with AUD 570mln all-cash offer "
"2018-06-24 23:22:00","2018-06-25 07:22:00","China is reportedly planning lower coal use in some areas to reduce pollution"
"2018-06-24 23:07:00","2018-06-25 07:07:00","Goldman Sachs doesn't see OPEC deal altering market outlook and that physical oil market is still tightening, also says OPEC deal may represent beginning of unravelling of the output cut deal"
"2018-06-24 23:06:00","2018-06-25 07:06:00","ANZ sees PBoC reducing RRR by another 50bps in October"
"2018-06-24 22:57:00","2018-06-25 06:57:00","Commonwealth Bank of Australia (CBA AT) to demerge wealth management and mortgage broking units, will undertake strategic review of general insurance business including potential sale"
"2018-06-24 22:39:00","2018-06-25 06:39:00","Xiaomi announces global offering of 2.18bln shares at maximum offer price of HKD 22/Shr for its Hong Kong IPO"
"2018-06-24 22:17:00","2018-06-25 06:17:00","PBoC said on Sunday that it will lower some banks' RRR by 50 basis points on July 5th"
"2018-06-24 22:15:00","2018-06-25 06:15:00","US President Trump tweeted that US insists all countries that have placed trade barriers and tariffs on goods going into their country, remove them or be met with more than reciprocity by the US, while he added trade must be fair and not one-way"
"2018-06-24 22:04:00","2018-06-25 06:04:00","Turkish Presidential Candidate Ince says it was not a fair race, but Erdogan won"
"2018-06-24 22:02:00","2018-06-25 06:02:00","Hungary Consumer Confidence (Jun) -5.7 (Prev. -7.5)"
"2018-06-24 21:48:00","2018-06-25 05:48:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights Include BoJ Summary of Opinions and Singapore CPI"
"2018-06-24 21:28:00","2018-06-25 05:28:00","DAILY ASIA-PAC OPENING NEWS"
"2018-06-24 21:00:00","2018-06-25 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2018-06-24 21:00:00","2018-06-25 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
