"gmt_time","hk_time","subject"
"2018-10-17 23:45:00","2018-10-18 07:45:00","China CSRC reportedly plans to ease up on A-share funding through stock issues and investment banking"
"2018-10-17 23:41:00","2018-10-18 07:41:00","Some US and Chinese companies are making preparations for potential escalation of trade dispute by stocking up on inventories and delaying payments, according to Hong Kong press"
"2018-10-17 23:31:00","2018-10-18 07:31:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS:  Hyundai Heavy (0095490 KS) unionized employees conducted a partial strike yesterday in protest over potential pay reductions"
"2018-10-17 23:28:00","2018-10-18 07:28:00","PBoC reportedly has added local government bonds when calculating social financing, according to Hong Kong press"
"2018-10-17 23:24:00","2018-10-18 07:24:00","Investa Office Fund (IOF AT) board recommends proposal from Oxford valued at AUD 5/60/Shr and reports note that Blackstone will not beat or match offer"
"2018-10-17 23:15:00","2018-10-18 07:15:00","Motiva Port Arthur, Texas refinery is shutting its fluid catalytic cracking unit, according to sources"
"2018-10-17 23:14:00","2018-10-18 07:14:00","China's Guanzhou local government is mulling steps to relax share pledge risk"
"2018-10-17 22:50:00","2018-10-18 06:50:00","Alumina (AWC AT) noted that the alumina market is tight after peer Alcoa (AA) reported Q3 EPS USD 0.63 vs. Exp. USD 0.25"
"2018-10-17 22:26:00","2018-10-18 06:26:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Quarterly updates from Santos, South32 and Woodside Petroleum"
"2018-10-17 21:55:00","2018-10-18 05:55:00","US Deputy AG Rosenstein says investigation revealed widespread Russian effort to meddle in 2016 elections and that Mueller probe is appropriate"
"2018-10-17 21:51:00","2018-10-18 05:51:00","US flew bomber planes near islands in South China Sea on Tuesday"
"2018-10-17 21:40:00","2018-10-18 05:40:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Japanese Trade Balance, Exports & Imports, Australian Employment Change and Unemployment Rate, BoK rate decision"
"2018-10-17 21:24:00","2018-10-18 05:24:00","Argentina Central Bank hikes LELIQ 7-day notes rate to 72.661% from 72.198%"
"2018-10-17 21:24:00","2018-10-18 05:24:00","Argentina Central Bank hikes LELIQ 7-day notes rate to 72.661% from 72.198%"
"2018-10-17 21:20:00","2018-10-18 05:20:00","DAILY ASIA-PAC OPENING NEWS"
"2018-10-17 21:00:00","2018-10-18 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2018-10-17 21:00:00","2018-10-18 05:00:00","US SERVICE IS NOW CLOSED, PLEASE SWITCH OVER TO THE ASIA CHANNEL"
"2018-10-17 21:00:00","2018-10-18 05:00:00","US Treasury says no major trading partner met legislative standards for currency manipulation and estimates PBoC currency intervention to be limited this year, but says lack of China currency transparency is a concern"
"2018-10-17 20:42:00","2018-10-18 04:42:00","Kinder Morgan Inc (KMI) CEO says examining options for Kinder Morgan Canada including potential sale"
"2018-10-17 20:35:00","2018-10-18 04:35:00","Source says EU leaders are prepared to meet again when Chief Negotiator Barnier reports that there has been decisive progress"
"2018-10-17 20:30:00","2018-10-18 04:30:00","eBay (EBAY) sues Amazon (AMZN) on allegation they illegally poached customers, according to WSJ"
"2018-10-17 20:17:00","2018-10-18 04:17:00","Crown Castle International Corp (CCI) Q3 revenue USD 1.38bln vs. Exp. USD 1.35bln  "
"2018-10-17 20:16:00","2018-10-18 04:16:00","EU source says not enough progress on Brexit, and for now EU27 is not planning to organise an extraordinary summit on Brexit in November, Sky journalist tweets"
"2018-10-17 20:07:00","2018-10-18 04:07:00","RANsquawk US Market Wrap - 17th October 2018: Stocks end red in volatile trade; May mulls extending Brexit transition"
"2018-10-17 20:05:00","2018-10-18 04:05:00","Kinder Morgan Inc (KMI) Q3 EPS USD 0.31 vs. Exp. USD 0.21, revenue USD 2.52bln vs. Exp. USD 3.56bln"
"2018-10-17 19:41:00","2018-10-18 03:41:00","Sky's Political editor says UK PM May did not ask for an extra year’s Brexit transition, citing a senior EU27 member"
"2018-10-17 19:31:00","2018-10-18 03:31:00","EU's Commissioner Moscovici says the EU Commission has a lot of questions on Italy's budget; according to ANSA"
"2018-10-17 19:23:00","2018-10-18 03:23:00","European Parliament head Tajani says UK PM May gave 'neutral' response when he raised the issue of transition period "
"2018-10-17 19:21:00","2018-10-18 03:21:00","Mexican Economy Minister Guajardo says has discussed Canada steel tariffs with Canadian officials, we will be arguing that Mexican steel industry should be exempted "
"2018-10-17 19:07:00","2018-10-18 03:07:00","US Senate Republican Leader McConnel says tariffs are having a negative impact, urges quick action on trade disputes"
"2018-10-17 18:57:00","2018-10-18 02:57:00","UK PM May is reportedly considering extending the Brexit period"
"2018-10-17 18:33:00","2018-10-18 02:33:00","WTI (X8) settles USD 2.17 lower at USD 69.75/bbl, Brent (Z8) settles USD 1.36 lower at USD 80.05/bbl"
"2018-10-17 18:33:00","2018-10-18 02:33:00","US triples size of currency swap line to Mexico to USD 9bln "
"2018-10-17 18:31:00","2018-10-18 02:31:00","EU leaders reportedly not planning to call November summit today, according to sources"
"2018-10-17 18:24:00","2018-10-18 02:24:00","European Parliament head Tajani says it is in favour of extending post-Brexit transition period to three years, nothing new in content from PM May"
"2018-10-17 18:00:00","2018-10-18 02:00:00","FOMC September Meeting Minutes say that all policy makers expressed the view of raising rates by 25 bps"
"2018-10-17 17:48:00","2018-10-18 01:48:00","UK PM May will give a Brexit briefing to 150 CEOs on Friday, according to the FT"
"2018-10-17 17:40:00","2018-10-18 01:40:00","US Senate's McConnell says Republicans could renew effort to repeal Obamacare, depending on congressional election results"
"2018-10-17 17:19:00","2018-10-18 01:19:00","Mexico's Pemex is seeking up to 350k bbl of cargoes of US Bakken crude for November/December delivery"
