"gmt_time","hk_time","subject"
"2018-02-04 23:36:00","2018-02-05 07:36:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: Fast Retailing (9983 JT) January domestic same-store sales fell 2.4% Y/Y; Mitsubishi UFJ Financial Group (8306 JT) 9-month net JPY 863.4bln vs. Prev. JPY 786.9bln"
"2018-02-04 23:31:00","2018-02-05 07:31:00","Westpac says RBA is unlikely to hike rates in the near future"
"2018-02-04 23:20:00","2018-02-05 07:20:00","Maldives Supreme Court is to seek impeachment of the country's President"
"2018-02-04 23:02:00","2018-02-05 07:02:00","US equity futures are pressured at reopen of electronic in a resumption of the sell-off on Friday with E-mini S&P down 13 points and with DJIA futures down nearly 150 points"
"2018-02-04 23:00:00","2018-02-05 07:00:00","South Korean Current Account (USD)(Dec) 4.1B (Prev. 7.4B)"
"2018-02-04 22:47:00","2018-02-05 06:47:00","UK's Downing Street has ruled out joining a customs union with the EU, according to reports in The Guardian"
"2018-02-04 22:44:00","2018-02-05 06:44:00","PRE-MARKET AUSTRALIAN NEWS: Wesfarmers (WES AT) announces AUD 1.3bln write-down on Bunnings UK operation and its Target chain"
"2018-02-04 22:30:00","2018-02-05 06:30:00","Australian AiG Performance of Services Index (Jan) 54.9 (Prev. 52.0)"
"2018-02-04 22:18:00","2018-02-05 06:18:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights Include Japanese Nikkei Services and Composite PMI, Chinese Caixin Services and Composite PMI"
"2018-02-04 22:01:00","2018-02-05 06:01:00","DAILY ASIA-PAC OPENING NEWS"
"2018-02-04 22:00:00","2018-02-05 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
