"gmt_time","hk_time","subject"
"2019-05-14 23:56:00","2019-05-15 07:56:00","American Airlines' pilots union pressed Boeing (BA) executives to fix anti-stall software or ground the 737 MAX following the Lion Air crash last year, but corporate leadership refused to listen according to NYT"
"2019-05-14 23:50:00","2019-05-15 07:50:00","Japanese Money Supply M3 (Apr) Y/Y 2.2% vs. Exp. 2.1% (Prev. 2.1%)"
"2019-05-14 23:50:00","2019-05-15 07:50:00","Japanese Money Supply M2 (Apr) Y/Y 2.6% vs. Exp. 2.3% (Prev. 2.4%)"
"2019-05-14 23:47:00","2019-05-15 07:47:00","Samsung Electronics (005930 KS) may relaunch the Galaxy Fold next month"
"2019-05-14 23:38:00","2019-05-15 07:38:00","PRE-MARKET AUSTRALIAN, JAPANESE AND SOUTH KOREAN STOCK NEWS: Earnings including JFE Holdings, Nissan and KEPCO"
"2019-05-14 23:14:00","2019-05-15 07:14:00","China may regulate energy imports from US, according to Global Times"
"2019-05-14 22:54:00","2019-05-15 06:54:00","Mexico Economy Minister Marquez says she thinks the country is close to negotiating the lifting of US tariffs on steel and aluminium"
"2019-05-14 22:41:00","2019-05-15 06:41:00","Fed's Daly (Non-Voter, Dove) says US economic recovery and expansion doesn't appear as sluggish in context of financial crisis and aging population"
"2019-05-14 22:41:00","2019-05-15 06:41:00","Fed's Daly (Non-Voter, Dove) says US economic recovery and expansion doesn't appear as sluggish in context of financial crisis and aging population"
"2019-05-14 22:39:00","2019-05-15 06:39:00","US President Trump is expected to sign executive order this week which will ban US companies from using telecommunications equipment posing national security risks, which is aimed at perceived risks from firms such as China's Huawei"
"2019-05-14 22:13:00","2019-05-15 06:13:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Australia Consumer Confidence and Wage Price Index, Chinese Industrial Production and Retail Sales"
"2019-05-14 21:58:00","2019-05-15 05:58:00","Investor lawsuit was filed against Apple (AAPL) is San Francisco which alleges the Co. concealed weakness in China"
"2019-05-14 21:53:00","2019-05-15 05:53:00","DAILY ASIA-PAC OPENING NEWS"
"2019-05-14 21:30:00","2019-05-15 05:30:00","Donald Trump Jr. is said to reach a deal to testify before the Senate Intel Committee in mid-June"
"2019-05-14 21:18:00","2019-05-15 05:18:00","Fed's Quarles (Voter, Neutral) says bank loan volumes are increasing and delinquencies are declining"
