"gmt_time","hk_time","subject"
"2019-02-15 21:30:00","2019-02-16 05:30:00","AUDIO SERVICE HAS NOW CLOSED FOR THE WEEK. THE ASIA DESK WILL REOPEN ON SUNDAY AT 2200GMT, EUROPEAN SERVICE WILL RESUME ON MONDAY AT 0630GMT. HAVE A PLEASANT WEEKEND."
"2019-02-15 21:15:00","2019-02-16 05:15:00","RANsquawk Central Bank Weekly Briefing 15 Feb 2019: Previewing minutes from FOMC, ECB, RBA ; reviewing Riksbank, RBNZ"
"2019-02-15 21:15:00","2019-02-16 05:15:00","RANsquawk Week in Focus; week commencing 18 February 2019 "
"2019-02-15 21:14:00","2019-02-16 05:14:00","S&P affirms Turkey, outlook stable"
"2019-02-15 21:13:00","2019-02-16 05:13:00","S&P raises Hungary to BBB from BBB-, outlook revised to stable from positive"
"2019-02-15 21:09:00","2019-02-16 05:09:00","US MARKET WRAP 15 Feb 2019: Trump declares national emergency"
"2019-02-15 21:04:00","2019-02-16 05:04:00","Fitch Affirms Russia at 'BBB-'; Positive Outlook"
"2019-02-15 21:01:00","2019-02-16 05:01:00","China Treasury Holdings (Dec) 1.124trln (Prev. 1.121trln)"
"2019-02-15 20:50:00","2019-02-16 04:50:00","Brazil confirms budget restriction to 1/18 of spending per month"
"2019-02-15 19:54:00","2019-02-16 03:54:00","Mattel (MAT) guides FY19 sales flat in YY terms, gross sales to be lower"
"2019-02-15 19:35:00","2019-02-16 03:35:00","Nine senators urge regulators to reject T-Mobile (TMUS), Sprint (S) merger "
"2019-02-15 19:32:00","2019-02-16 03:32:00","WTI (H9) settles USD 1.18 higher at USD 58.59/bbl; Brent (J9) settles USD 1.68 higher at USD 66.25"
"2019-02-15 19:08:00","2019-02-16 03:08:00","Eskom has not implemented rotational load shedding on Friday; adds that probability of load shedding is low for the next few days"
"2019-02-15 19:04:00","2019-02-16 03:04:00","US President Trump says in his emergency proclamation, it is necessary for the Armed Forces to provide support given the gravity of the current emergency situation"
"2019-02-15 18:48:00","2019-02-16 02:48:00","Mexico evaluating impact of retaliatory tariffs on US, says it would be excluded from potential car tariffs"
"2019-02-15 18:46:00","2019-02-16 02:46:00","Fed's Daly (non-voter) says it is appropriate for the Fed to be patient; says no rate hikes needed in 2019"
"2019-02-15 18:02:00","2019-02-16 02:02:00","Baker Hughes US Rig Count (15 Feb): Oil rigs +3 to 857 (second weekly gain); gas rigs -1 to 194; total rig count +2  to 1051"
"2019-02-15 17:49:00","2019-02-16 01:49:00","Caesars (CZR) Board open to a sale or a merger, FT reports"
"2019-02-15 17:47:00","2019-02-16 01:47:00","Pro-Brexit lawmakers reportedly could live with a five-year time-limit on the Irish backstop, people familiar with the matter report"
"2019-02-15 17:26:00","2019-02-16 01:26:00","Medtronic (MDT) recalls dual chamber IPGS due to possibility of a software error that can result in a lack of pacing"
"2019-02-15 17:09:00","2019-02-16 01:09:00","USTR says US and Canada file challenge to India's price supports for chickpeas, lentils, pigeon peas, black matpe and mung beans at WTO"
"2019-02-15 17:01:00","2019-02-16 01:01:00","Fed's Bostic (non-voter, dovish) sees one more rate hike this year; has seen no evidence that the US economy is slowing faster than expected; expects 2.3% to 2.5% growth this year, above the trend of just below 2%"
"2019-02-15 16:43:00","2019-02-16 00:43:00","US submits draft reform to WTO in which high income states, OECD members, G20 nations and any country with more 0.5% of world trade would not be eligible for special treatment"
