"gmt_time","hk_time","subject"
"2019-10-14 23:54:00","2019-10-15 07:54:00","Japanese Finance Minister Aso says have JPY 500bln in reserves for disaster recovery but will consider extra budget if required following typhoon"
"2019-10-14 23:30:00","2019-10-15 07:30:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: Japan returns from extended weekend"
"2019-10-14 23:23:00","2019-10-15 07:23:00","Retail Food Group (RFG AT) announces placement of 1.7bln shares at AUD 0.10/Shr"
"2019-10-14 22:52:00","2019-10-15 06:52:00","Cooper Energy (COE AT) announces new gas discovery in Otway"
"2019-10-14 22:41:00","2019-10-15 06:41:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Evolution Mining (EVN AT) Q1 gold output fell 4.1% Y/Y; APRA launched a review of capital treatment of authorized deposit-taking institutions"
"2019-10-14 22:30:00","2019-10-15 06:30:00","Australian ANZ Roy Morgan Consumer Confidence (Oct) W/W 110.9 (Prev. 112.3)"
"2019-10-14 22:08:00","2019-10-15 06:08:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include RBA Minutes, Chinese CPI and PPI"
"2019-10-14 22:05:00","2019-10-15 06:05:00","US VP Pence says President Trump spoke with Turkey President Erdogan and asked him to halt incursion into Syria, while Erdogan gave assurance Turkey will not attack city of Kobani"
"2019-10-14 22:03:00","2019-10-15 06:03:00","US Treasury Secretary Mnuchin says US sanctioned Turkey Ministers of Interior, Defense and Energy, but adds US will issue license to continue to let Turkey buy fuel and will remove sanctions based on Turkey's actions"
"2019-10-14 21:48:00","2019-10-15 05:48:00","DAILY ASIA-PAC OPENING NEWS"
"2019-10-14 21:30:00","2019-10-15 05:30:00","Finland PM Rinne stated that there is no time for a Brexit deal ahead of the extension deadline"
"2019-10-14 21:00:00","2019-10-15 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-10-14 20:56:00","2019-10-15 04:56:00","US Defense Secretary Esper says many IS fighters have been released as a result of Turkey's incursion into Syria, adds will meet NATO allies next week to press them to take collective and individual diplomatic as well as economic measures against Turkey"
"2019-10-14 20:44:00","2019-10-15 04:44:00","UK is said to review all arms export licences to Turkey, according to FT"
"2019-10-14 20:42:00","2019-10-15 04:42:00","Brexit deal hopes are reported to have increased as sources in both sides of the channel stated there was cautious optimism that a narrow path to a deal could now be appearing, according to Telegraph"
"2019-10-14 20:39:00","2019-10-15 04:39:00","US President Trump says US troops exiting Syria will stay in the region to prevent Islamic State revival"
"2019-10-14 20:05:00","2019-10-15 04:05:00","RANsquawk US Market Wrap - 14th October 2019: US/China/Brexit optimism pared"
"2019-10-14 19:56:00","2019-10-15 03:56:00","US President Trump to authorise sanctions against current and former Turkish officials; will immediately stop negotiations with Turkey on a USD 100bln trade deal and reintroduce steel tariffs back at 50%"
"2019-10-14 19:50:00","2019-10-15 03:50:00","MOC: SPX 900mln to sell (prev. 400mln to sell); Dow 550mln to sell (prev. 325mln to sell)"
"2019-10-14 19:34:00","2019-10-15 03:34:00","Southwest (LUV) Pilots union spokesperson sees Boeing (BA) Max resume flights in February 2020"
"2019-10-14 18:32:00","2019-10-15 02:32:00","WTI (X9) SETTLED USD 1.11 LOWER AT USD 53.59/BBL; BRENT (Z9) SETTLED USD 1.16 LOWER AT 59.35/BBL"
