"gmt_time","hk_time","subject"
"2019-09-02 23:50:00","2019-09-03 07:50:00","Japanese Monetary Base End of Period (JPY)(Aug) 515.9T (Prev. 518.1T)"
"2019-09-02 23:50:00","2019-09-03 07:50:00","Japanese Monetary Base (Aug) Y/Y 2.8% (Prev. 3.7%)"
"2019-09-02 23:48:00","2019-09-03 07:48:00","NHC says extremely powerful hurricane Dorian remains stationary and continues to pummel Grand Bahama Island"
"2019-09-02 23:46:00","2019-09-03 07:46:00","China and North Korea foreign ministers met in Pyongyang and discussed issues regarding the Korean peninsula"
"2019-09-02 23:39:00","2019-09-03 07:39:00","Australia says it can increase output of minerals on the US wish list "
"2019-09-02 23:32:00","2019-09-03 07:32:00","PRE-MARKET AUSTRALIA, JAPANESE AND SOUTH KOREAN STOCK NEWS: ACCC begins proceedings against Medibank for alleged misrepresentations, Kia Motors (000270 KS) August sales rose 2.1% Y/Y amid strong overseas sales"
"2019-09-02 23:30:00","2019-09-03 07:30:00","Australian ANZ Roy Morgan Consumer Confidence (Sep 1) W/W 114.4 (Prev. 114.1)"
"2019-09-02 23:13:00","2019-09-03 07:13:00","UK PM Johnson warns he will call an October general election rather than accept another Brexit delay"
"2019-09-02 23:01:00","2019-09-03 07:01:00","Barclaycard says UK consumer spending increased 1.3% Y/Y"
"2019-09-02 22:51:00","2019-09-03 06:51:00","UK opposition Labour party leader Corbyn will not fall for PM Johnson's no-deal snap election trick and will only support a general election if the threat of a no-deal is removed, according to shadow cabinet minister Lloyd"
"2019-09-02 22:30:00","2019-09-03 06:30:00","Japan is to set up an armed police unit to defend islands disputed with China"
"2019-09-02 22:19:00","2019-09-03 06:19:00","New Zealand August Auckland average house prices rose by 0.2% Y/Y, according to Barfoot and Thompson"
"2019-09-02 22:10:00","2019-09-03 06:10:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include the RBA Interest Rate Decision, Australia Retail Sales Current Account and Net Exports Contribution of GDP"
"2019-09-02 21:59:00","2019-09-03 05:59:00","US President Trump tweets that 'Brazil will allow more American Ethanol to enter the country without Tariffs'"
"2019-09-02 21:57:00","2019-09-03 05:57:00","Virginia Governor Northam declares state of emergency ahead of hurricane Dorian's impact on southeastern Virginia"
"2019-09-02 21:50:00","2019-09-03 05:50:00","DAILY ASIA-PAC OPENING NEWS"
"2019-09-02 21:07:00","2019-09-03 05:07:00","Philippines Central Bank Deputy Governor Dakila says economy is to pick up in H2 and that they are planning to issue own securities in 2020"
"2019-09-02 21:00:00","2019-09-03 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
