"gmt_time","hk_time","subject"
"2019-06-16 23:38:00","2019-06-17 07:38:00","PRE-MARKET AUSTRALIAN, JAPANESE AND SOUTH KOREAN STOCK NEWS: AGL Energy (AGL AT) said it is determined to withdraw non-binding proposal to acquire Vocus (VOC AT)"
"2019-06-16 23:32:00","2019-06-17 07:32:00","AGL Energy (AGL AT) said it is determined to withdraw non-binding proposal to acquire Vocus (VOC AT)"
"2019-06-16 23:01:00","2019-06-17 07:01:00","UK Rightmove House Prices (Jun) Y/Y 0.0% (Prev. 0.1%)"
"2019-06-16 23:01:00","2019-06-17 07:01:00","UK Rightmove House Prices (Jun) M/M 0.3% (Prev. 0.9%)"
"2019-06-16 22:39:00","2019-06-17 06:39:00","NZIER says economists expect New Zealand 2019-2020 GDP growth of 2.5%"
"2019-06-16 22:38:00","2019-06-17 06:38:00","Macquarie expects RBA to lower Cash Rate to 0.5% by year-end"
"2019-06-16 22:30:00","2019-06-17 06:30:00","New Zealand Performance of Services Index (May) 53.6 (Prev. 51.8)"
"2019-06-16 22:14:00","2019-06-17 06:14:00","India is to levy retaliatory tariffs on 28 US goods after US President Trump suspended India's GSP status"
"2019-06-16 22:14:00","2019-06-17 06:14:00","India is to levy retaliatory tariffs on 28 US goods after US President Trump suspended India's GSP status"
"2019-06-16 22:05:00","2019-06-17 06:05:00","Goldman Sachs economists are skeptical Fed will reduce rates as an insurance policy against slowing economic growth and sees the hurdle for such action to be much higher than most think"
"2019-06-16 21:58:00","2019-06-17 05:58:00","Greece PM Tsipras says the country along with Cyprus will push EU partners to penalize or sanction Turkey it the latter is verified to have begun drilling for gas in the west of Cyprus"
"2019-06-16 21:56:00","2019-06-17 05:56:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include New Zealand Performance of Services Index, UK Rightmove House Prices and Singapore Non-Oil Exports"
"2019-06-16 21:40:00","2019-06-17 05:40:00","DAILY ASIA-PAC OPENING NEWS"
"2019-06-16 21:02:00","2019-06-17 05:02:00","Huawei is said to be preparing for a 40%-60% decline in overseas shipments"
"2019-06-16 21:00:00","2019-06-17 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
