"gmt_time","hk_time","subject"
"2019-09-03 23:45:00","2019-09-04 07:45:00","Global Times notes that FedEx (FDX) has 2 ongoing investigations related to Huawei parcels, as well as a handgun and controlled knives being sent to Hong Kong"
"2019-09-03 23:33:00","2019-09-04 07:33:00","PRE-MARKET AUSTRALIA, JAPANESE AND SOUTH KOREAN STOCK NEWS: ASIC commenced proceedings against Bank of Queensland for unfair contract terms"
"2019-09-03 23:23:00","2019-09-04 07:23:00","Some investors are reportedly preparing for the possibility 10yr Treasury yields turn negative, according to FT"
"2019-09-03 23:22:00","2019-09-04 07:22:00","Global Times says China's real estate sector is unlikely to weaken despite declining statistics"
"2019-09-03 23:09:00","2019-09-04 07:09:00","Analysts sees the PBoC reducing MLF rates this month, according to China Securities Journal"
"2019-09-03 23:01:00","2019-09-04 07:01:00","Former UK Justice Secretary Gauke says he is unconvinced the PM had a plan to reach a deal on Brexit and no proposal has been submitted to the EU, adds we were told if it had been submitted, the EU would have dismissed it"
"2019-09-03 23:00:00","2019-09-04 07:00:00","Australian CBA Composite PMI (Aug F) 49.3 (Prev. 49.5)"
"2019-09-03 23:00:00","2019-09-04 07:00:00","Australian CBA Services PMI (Aug F) 49.1 (Prev. 49.2)"
"2019-09-03 22:57:00","2019-09-04 06:57:00","Total Port Arthur refinery will restart hydrotreater in mid-September"
"2019-09-03 22:43:00","2019-09-04 06:43:00","US House Speaker Pelosi expressed Democrats NAFTA concerns to Canadian PM Trudeau regarding enforcement of USMCA and Mexico implementation of labour standards"
"2019-09-03 22:22:00","2019-09-04 06:22:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Australian GDP, Chinese Caixin Services and Composite PMI"
"2019-09-03 22:15:00","2019-09-04 06:15:00","DAILY ASIA-PAC OPENING NEWS"
"2019-09-03 21:45:00","2019-09-04 05:45:00","Tory rebel Bebb says will vote against an election tomorrow along with other rebels"
"2019-09-03 21:40:00","2019-09-04 05:40:00","UK government sources confirm 21 rebels will be kicked out of the party including former chancellor Hammond, according to BBC's Political Editor"
"2019-09-03 21:33:00","2019-09-04 05:33:00","UK Treasury reportedly announces extra USD 2.4bln of Brexit funding"
"2019-09-03 21:21:00","2019-09-04 05:21:00","Ireland Finance Minister says any future Brexit extension depends on rationale and would have to be a significant political reason"
"2019-09-03 21:19:00","2019-09-04 05:19:00","UK Labour party leader Corbyn suggests will not vote for a general election before extension to leaving EU"
"2019-09-03 21:13:00","2019-09-04 05:13:00","UK PM Johnson says he believes he will get a deal with Brussels and we will leave on October 31st without a deal if needed, adds an election will be the only way to resolve this if lawmakers vote for Brexit delay"
"2019-09-03 21:11:00","2019-09-04 05:11:00","UK Parliament voted to approve motion to seize control of Parliamentary time to try and block a no deal by 328 votes in favour vs. 301 against"
"2019-09-03 21:00:00","2019-09-04 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-09-03 21:00:00","2019-09-04 05:00:00","Fed's Rosengren (voter, hawkish dissenter) says no immediate fed action is needed if data stays on track but adds if risks materialize, Fed should cut rates aggressively"
"2019-09-03 20:56:00","2019-09-04 04:56:00","UK Labour leadership will reportedly try and block an election if it is at a time of Boris Johnson's choosing"
"2019-09-03 20:51:00","2019-09-04 04:51:00","NHC says winds are increasing along part of Florida's east coast and new warnings as well as watched have been issued"
"2019-09-03 20:50:00","2019-09-04 04:50:00","UK lawmakers begin voting on whether to seize control of parliamentary time to try and block a no-deal"
"2019-09-03 20:45:00","2019-09-04 04:45:00","UK Tory party are set to break convention and will stand against Speaker of the House of Commons Bercow in the next general election, according to Telegraph"
"2019-09-03 20:43:00","2019-09-04 04:43:00","EU is to help its companies, workers and farmers in the event of a no-deal Brexit"
"2019-09-03 20:39:00","2019-09-04 04:39:00","UK Tory party chiefs say there are 16 rebels for tonight and they will all be stripped of the whip this evening, according to Sunday Times"
"2019-09-03 20:32:00","2019-09-04 04:32:00","Fed's Bullard (Voter, Dovish) says a 50bps cut would align the Fed with market expectations, policy rate is too high better to get to the right point now rather than in small steps; aggressive action is needed given the fall in yields, and trade impact"
"2019-09-03 20:17:00","2019-09-04 04:17:00","EU Commision is to propose on Wednesday to use the EU solidarity fund to help EU countries hit by Brexit in a no deal scenario which would use all existing instruments for support and direct financial support for EU farmers"
"2019-09-03 20:10:00","2019-09-04 04:10:00","RANsquawk US Market Wrap - 3rd September 2019: ISM Manufacturing falls into contraction putting fresh pressure on Fed"
"2019-09-03 20:02:00","2019-09-04 04:02:00","17 Labour MP's are reportedly planning to amend tomorrow's Anti-No Deal bill if the opposition win tonight to call for the latest version of the Theresay May deal to be put to parliament, according to BBC's Watson"
"2019-09-03 19:17:00","2019-09-04 03:17:00","A Labour source reportedly says there are hardly any Labour rebels in tonight's vote, therefore with 16 Tory rebels, the government is on course for a large defeat"
"2019-09-03 19:12:00","2019-09-04 03:12:00","UK PM Johnson loyalists in the lords have reportedly tabled 90 amendments to an opposition business motion for tomorrow which is designed to find time to debate the anti No Deal bill"
"2019-09-03 19:03:00","2019-09-04 03:03:00","Fitch upgrades Argentina to 'CC' from 'RD'"
"2019-09-03 19:00:00","2019-09-04 03:00:00","ECB's Villeroy says clearly monetary policy needs to maintain its full support and be ready to strengthen it; ECB has option of re-starting APP at any time, but questions if now is the right time"
"2019-09-03 18:54:00","2019-09-04 02:54:00","US President Trump was reportedly so angered by China's latest tariff retaliation that he wanted to double the tariffs, but resorted to a 5% hike after speaking with CEO's, according to three sources cited by CNBC"
"2019-09-03 18:54:00","2019-09-04 02:54:00","US President Trump was reportedly so angered by China's latest tariff retaliation that he wanted to double the tariffs, but resorted to a 5% hike after speaking with CEO's, according to three sources cited by CNBC"
"2019-09-03 18:31:00","2019-09-04 02:31:00","WTI (V9) settles USD 1.16 lower at USD 53.94/bbl; Brent (X9) settles USD 0.40 lower at USD 58.26/bbl"
"2019-09-03 18:28:00","2019-09-04 02:28:00","UK government insiders predict that it will lose both the vote on MPs taking control of the order paper, and the dissolution motion Boris Johnson is expected to bring forward tomorrow, according to FT"
"2019-09-03 18:22:00","2019-09-04 02:22:00","Iranian Foreign Minister Zarif says new cuts in Iranians commitments to the Nuclear Deal does not mean the ""end of talks"", according to ISNA"
"2019-09-03 18:04:00","2019-09-04 02:04:00","US Treasury Department has issued fresh Iran-related sanctions, on Iran Space Agency and Iran Space Center & Astronautics Research Institute "
"2019-09-03 17:50:00","2019-09-04 01:50:00","Some State AGs are looking to probe Google (GOOGL) over potential antitrust violations, with an announcement to be made on 9th September, according to WaPo"
"2019-09-03 17:38:00","2019-09-04 01:38:00","UK Parliament Speaker Bercow grants lawmakers an emergency debate which will begin today and last up to 3 hours"
"2019-09-03 17:37:00","2019-09-04 01:37:00","A government source predicts they will lose tonight's vote, according to Buzzfeed, echoing early reports from the BBC"
"2019-09-03 17:29:00","2019-09-04 01:29:00","UK opposition Labour Chief Whip Brown says it would not back PM Johnson's snap election bid"
"2019-09-03 17:23:00","2019-09-04 01:23:00","PRIMER: Tonight's Brexit vote"
"2019-09-03 17:22:00","2019-09-04 01:22:00","Italian 5SM members back the formation of new government with PD following online vote (79.3% in favour, compared to polls forecasting 51%)"
"2019-09-03 17:08:00","2019-09-04 01:08:00","UK government is set to lose parliament vote later on Tuesday, according to BBC Political Editor; government ministries have been told to clear their decks by Thursday in anticipation that Parliament won't be sitting due to an election, Telegraph reports"
"2019-09-03 17:02:00","2019-09-04 01:02:00","American Outdoor Brands (AOBC) / Sturm Ruger (RGR) - Walmart (WMT) is to discontinue sales of ammunition for short barrel rifles and handguns"
"2019-09-03 16:59:00","2019-09-04 00:59:00","An Illinoi has joined a multistate lawsuit is asking a court to prevent the T-Mobile (TMUS) and Sprint (S), according to NY AG office "
"2019-09-03 16:30:00","2019-09-04 00:30:00","Latest YouGov Poll: Conservatives remain in the lead with 35%, highest since March 29th"
"2019-09-03 16:16:00","2019-09-04 00:16:00","Atlanta Fed GDPNow Q3 1.7% (Prev. 2.0%)"
"2019-09-03 16:09:00","2019-09-04 00:09:00","UK PM Johnson spokesperson says the government still has a majority in parliament following Phillip Lee quitting as conservative "
"2019-09-03 16:06:00","2019-09-04 00:06:00","Lyondell Houston refinery (270k BPD) says power has been restored and working to bring units back online"
"2019-09-03 16:00:00","2019-09-04 00:00:00","EU Member states have been told by the EU commission task force that the UK is reneging on its commitments to protect the all Ireland economy, according to RTE’s Tony Connely"
"2019-09-03 16:00:00","2019-09-04 00:00:00","French diplomatic source says an additional violation of the nuclear deal by Iran would send the ""wrong signal"", but the need to find a solution would remain"
"2019-09-03 15:55:00","2019-09-03 23:55:00","US Chamber of Commerce Donohue says he thinks if the USMCA deal is passed it would send a positive signal to China and that he believes congress has enough votes to pass the USMCA deal right now"
"2019-09-03 15:33:00","2019-09-03 23:33:00","Edison International (EIX) being criminally investigated by Californian AG in relation to the Woolsey Fire, posted on 30th August in VCstar but gaining traction currently"
"2019-09-03 15:31:00","2019-09-03 23:31:00","ECB’s Muller (Hawk) reiterates there is no strong case to resume bond buying and that market expectations on stimulus have gone too far and is going into next week’s meeting with an open mind but a rate cut should be the first option if action is needed"
"2019-09-03 15:30:00","2019-09-03 23:30:00","Baker Hughes (BHGE) CEO says it is in the early stages of re-evaluating its business to determine ""optimal portfolio"""
"2019-09-03 15:30:00","2019-09-03 23:30:00","EUROPEAN PRELIMINARY CASH CLOSE: EURO STOXX 50 (-0.5%) at 3417, FTSE 100 (-0.2%) at 7268, DAX (-0.4%) at 11911, CAC 40 (-0.5%) at 5466, IBEX 35 (-0.2%) at 8800, FTSE Italian MIB (-0.3%) at 21379, SMI (-0.7%) at 9853"
"2019-09-03 15:27:00","2019-09-03 23:27:00","Daily FX Wrap: US-China trade chat, mixed US PMI/ISM, ECB sources and Brexit vote looming"
"2019-09-03 15:25:00","2019-09-03 23:25:00","UK PM Johnson, when asked what he would do if bill passes that rules out No-Deal Brexit, says the government will uphold the constitution and obey the law"
"2019-09-03 15:16:00","2019-09-03 23:16:00","Baker Hughes CEO sees oil prices range-bound for the foreseeable future "
"2019-09-03 15:08:00","2019-09-03 23:08:00","Lyondell (LYB) Houston, Texas refinery (279k BPD) affected by power interruption, according to sources"
"2019-09-03 15:07:00","2019-09-03 23:07:00","NY Fed balance sheet projections' median scenario shows reserve balances declining until an assumed trough through Q2 2021 (where reserve balances are seen at around USD 1.2trln)"
"2019-09-03 15:07:00","2019-09-03 23:07:00","China Global Times Editor Hu Xijin says he cannot tell whether US President Trump is threatening China or pleading with China to make concessions and says China always wants to reach a deal but will always reject bullying demands"
"2019-09-03 14:59:00","2019-09-03 22:59:00","EU Diplomat says, now that UK PM Johnson has lost his majority it is futile to continue discussions, Telegraph's Crisp"
"2019-09-03 14:52:00","2019-09-03 22:52:00","NHC says Hurricane Dorian has now weakened to a category 2 hurricane "
"2019-09-03 14:42:00","2019-09-03 22:42:00","UK PM Johnson reiterates his view that the chances of reaching a Brexit deal with the EU has risen"
"2019-09-03 14:37:00","2019-09-03 22:37:00","Conservative MP Philip Lee has defected to the Lib Dems and therefore the Conservatives no longer have a majority in the HoC, according to ITV's Brand "
"2019-09-03 13:45:00","2019-09-03 21:45:00","US President Trump again criticises the Fed noting Germany and other countries have negative rates, ""they get paid for loaning money"", and the Federal reserve fails to act and to remember that Germany are the US's 'weak currency competitors' "
"2019-09-03 13:35:00","2019-09-03 21:35:00","ECB Policymakers are leaning towards rate cut and tiering, reinforced guidance in Sept 12 stimulus package, sources"
"2019-09-03 13:33:00","2019-09-03 21:33:00","US President Trump criticises both EU & China on trade says EU & China treat us very unfairly on trade "
"2019-09-03 13:27:00","2019-09-03 21:27:00","Mexican President Obrador says budget for security will increase (unclear if he is referring to border security)"
"2019-09-03 13:24:00","2019-09-03 21:24:00","US Vice President Pence says the US is 'anxious' to negotiate a trade deal with the EU"
"2019-09-03 13:23:00","2019-09-03 21:23:00","UK Opposition Labour Leader Corbyn says he is confident that we can have a general election and prevent a no-deal Brexit from occuring"
"2019-09-03 13:22:00","2019-09-03 21:22:00","US Vice President Pence says the US will look to play any role it can for the UK to successfully leave the EU "
"2019-09-03 13:20:00","2019-09-03 21:20:00","Crude oil benchmarks falling. Levels to watch: WTI (V9) support at 52.78; Brent (X9) support at 55.59"
"2019-09-03 13:12:00","2019-09-03 21:12:00","US President Trump reiterates that US is doing very well with China negotiations, reiterates that China will get a tougher deal if Trump wins 2020 elections "
"2019-09-03 13:09:00","2019-09-03 21:09:00","Fixed and FX latest: debt futures retreat further, but Dollar holds firm"
"2019-09-03 13:05:00","2019-09-03 21:05:00","Shell's Norco Louisiana refinery (220k BPD) has restarted its coker., according to sources"
"2019-09-03 13:00:00","2019-09-03 21:00:00","Osram Licht (OSR GY) - AMS (AMS AV) announce the begining of the acceptance period for the takeover of Osram, offer price of EUR 38.50 represents a EUR 3.50 per share premium vs. the Bain & Carlyle offer"
"2019-09-03 12:57:00","2019-09-03 20:57:00","Motiva is reportedly preparing to shut large CDU and other units tomorrow, sources state, unclear which refineries "
"2019-09-03 12:49:00","2019-09-03 20:49:00","Additional US Equity Stories: Automakers (GM, F, FCAU), Raytheon (RTN)"
"2019-09-03 12:46:00","2019-09-03 20:46:00","RANsquawk Daily US Equity Opening News - 3rd September 2019"
"2019-09-03 12:46:00","2019-09-03 20:46:00","RANsquawk Daily US Equity Opening News - 3rd September 2019"
"2019-09-03 12:44:00","2019-09-03 20:44:00","ANALYSIS: UK Parliament positioned for a showdown "
"2019-09-03 12:44:00","2019-09-03 20:44:00","Of note for US automakers, Ford (F), General Motors (GM) and Fiat Chrysler (FCAU, FCA IM) - UAW union members have authorised potential strike action vs GM, Ford and Fiat Chrysler ahead of contract negotiations, according to Automotive News' Martinez"
"2019-09-03 12:32:00","2019-09-03 20:32:00","French Foreign Minister says the discussions with Iran focused on setting up credit lines guaranteed by oil are ongoing, in return Iran needs to comply fully to the nuclear deal; the credit line plan depends on the US reissuing oil export waiver"
"2019-09-03 12:29:00","2019-09-03 20:29:00","Chinese Vice Premier Liu He says China firmly opposes trade war, hopes the two sides seek common ground while setting aside differences, hopes to appropriately resolve the issues on basis of equality and mutual respect "
"2019-09-03 12:27:00","2019-09-03 20:27:00","BNP Paribas sees gold averaging USD 1400/oz this year and USD 1560/oz in 2020, adds that Fed easing cycle should push gold above USD 1600/oz in Q1 2020"
"2019-09-03 12:19:00","2019-09-03 20:19:00","Former Business Secretary Greg Clark offered to vote with the government today if the PM promised to give parliament vote to veto no-deal after 21 October, however Johnson allies reportedly said no, according to ITV's Peston"
"2019-09-03 12:09:00","2019-09-03 20:09:00","UK Opposition Leader Corbyn says meeting with opposition leaders went very well, says they are working to block a no-deal"
"2019-09-03 12:07:00","2019-09-03 20:07:00","Danish Pension fund is to sell stake in 10 firms; Exxon (XOM), BP (BP/ LN), Chevron (CVX), Shell (RDSA LN), Total (FP FP), Petrobas and Rosneft. Stakes total DKK 644mln"
"2019-09-03 12:05:00","2019-09-03 20:05:00","Spanish Podemos' leader Iglesias says a coalition is the only option"
"2019-09-03 12:04:00","2019-09-03 20:04:00","German new car registrations -1% in August., according to the VDA "
"2019-09-03 12:00:00","2019-09-03 20:00:00","Ryanair (RYA LN) - Spanish Pilot's Union Sepla says the Co's pilots are to strike on September 19th, 20th, 22nd, 27th and 29th, following on from unsuccessful mediation., according to a spokesman"
"2019-09-03 11:54:00","2019-09-03 19:54:00","UK Tory rebels say PM Johnson provided an unconvincing explanation of how he intends to get a deal done in time; didn't provide a reasonable answer as to why no new backstop alternatives had been proposed., ITV's Brand citing sources"
"2019-09-03 11:43:00","2019-09-03 19:43:00","House of Commons updated timetable has S024 application on EU (Withdrawal) will take place at 1830 BST/1330 EDT"
"2019-09-03 11:37:00","2019-09-03 19:37:00","Conservative PM rebels seem very confident they have numbers to take control of the agenda later, votes might not be until 2200BST, according to BBC's Kuenssberg"
"2019-09-03 11:22:00","2019-09-03 19:22:00","Scotiabank FX Daily - GBP Drops on Brexit Worries amid Broader Risk Aversion  "
"2019-09-03 11:13:00","2019-09-03 19:13:00","Spanish PM Sanchez says there is no objective reason to hold election on 10 November"
"2019-09-03 11:09:00","2019-09-03 19:09:00","Samsung (SSNFL) has begun replacing Japanese materials in chip production due to export curbs, according to Yonhap"
"2019-09-03 11:07:00","2019-09-03 19:07:00","Iranian official says Iran is able to resume production of 20% enriched Uranium in 2 days"
