"gmt_time","hk_time","subject"
"2019-01-04 21:30:00","2019-01-05 05:30:00","AUDIO SERVICE HAS NOW CLOSED FOR THE WEEK. THE ASIA DESK WILL REOPEN ON SUNDAY AT 2200GMT, EUROPEAN SERVICE WILL RESUME ON MONDAY AT 0630GMT. HAVE A PLEASANT WEEKEND."
"2019-01-04 21:05:00","2019-01-05 05:05:00","RANsquawk week in Focus, 7 January 2019 "
"2019-01-04 21:05:00","2019-01-05 05:05:00","RANsquawk Central Banks - RANsquawk Central Bank weekly Briefing, 4 January 2019"
"2019-01-04 21:04:00","2019-01-05 05:04:00","US MARKET WRAP 4 Jan 2019: Stocks rally after blockbuster NFP and dovish Powell"
"2019-01-04 19:45:00","2019-01-05 03:45:00","US President Trump says he thinks US will make a deal with China, says China economic weakness put US in strong position in trade talks"
"2019-01-04 19:31:00","2019-01-05 03:31:00","WTI (G9) futures settle USD 0.97 higher at USD 47.96/bbl; Brent (H9) settles USD 1.11 higher at USD 57.06"
"2019-01-04 19:24:00","2019-01-05 03:24:00","US President Trump says he is willing for government shutdown to go on for months/years, but doesn't think it will; hopes can reopen in a few days"
"2019-01-04 19:06:00","2019-01-05 03:06:00","Irish PM Varadkar says he and German Chancellor Merkel have a strong desire to help UK PM May, will do anything they can within reason to help May"
"2019-01-04 18:59:00","2019-01-05 02:59:00","US President Trump says the shutdown meeting was productive, progress made; doing very with China in trade negotiations"
"2019-01-04 18:37:00","2019-01-05 02:37:00","US House Majority Leader Pelosi says Trump talks were lengthy, sometimes contentious; Democrats agree that cant resolve impasse till government opens"
"2019-01-04 18:30:00","2019-01-05 02:30:00","Fed's Barkin (non-voter) says economy will grow more slowly in 2019 than in 2018"
"2019-01-04 18:00:00","2019-01-05 02:00:00","Baker Hughes Rig Count (4/Jan): Oil down 8 at 877, NatGas unchanged at 198; total down 4 at 1075"
"2019-01-04 17:45:00","2019-01-05 01:45:00","Fed's Bostic (voter, dovish) defends central bank's approach to winding down the balance sheet; policy path not ""set in stone"", can be adjusted for the unexpected"
"2019-01-04 16:30:00","2019-01-05 00:30:00","EUROPEAN PRELIMINARY CASH EQUITY CLOSE: EURO STOXX 50 (+2.70%), FTSE 100 (+1.99%), DAX (+3.12%), CAC (+2.62%), IBEX (+2.46%), FTSE MIB (+3.12%), SMI (+1.76%)"
"2019-01-04 16:17:00","2019-01-05 00:17:00","New York Fed GDP Nowcast (Q4) unchanged at 2.5%, (Q1) unchanged at 2.1%"
"2019-01-04 16:15:00","2019-01-05 00:15:00","Tesla (TSLA) has almost 14,000 Model 3 orders in Europe; Electrek"
"2019-01-04 16:07:00","2019-01-05 00:07:00","Ironwood Pharmaceuticals (IRWD) names Astrazeneca (AZN LN) executive as its next CEO"
"2019-01-04 15:58:00","2019-01-04 23:58:00","US Senate Minority Leader Schumer says US President Trump is a terrible negotiator and adds that McConnell must intervene in government funding talks "
"2019-01-04 15:45:00","2019-01-04 23:45:00","Weekly FX Wrap: JPY flash crash and blockbuster NFP spurs price action in early 2019 trade"
"2019-01-04 15:34:00","2019-01-04 23:34:00","As Fed Chair Powell speaks, USD continues to soften and US equity futures continue to tick higher with the Chair reiterating the FOMC's flexibility in adjusting policy if needed "
"2019-01-04 15:29:00","2019-01-04 23:29:00","Fed's Bostic says the US is at or very close to full-employment; adds US employment is performing well "
"2019-01-04 15:22:00","2019-01-04 23:22:00","Fed Chair Powell says that the Fed will be patient in watching data and are prepared to adjust policy stance"
"2019-01-04 15:18:00","2019-01-04 23:18:00","Fed Chair Powell says that Fed policy is not on a preset path"
"2019-01-04 15:15:00","2019-01-04 23:15:00","White House Economic Advisor Kudlow says December US jobs numbers likely to lead to upper revisions in GDP forecasts "
"2019-01-04 15:02:00","2019-01-04 23:02:00","US senators have proposed to combat technology threats from China "
"2019-01-04 14:55:00","2019-01-04 22:55:00","WATCH: Fed Chair Powell set to speak at the AEA conference"
