"gmt_time","hk_time","subject"
"2019-09-10 23:57:00","2019-09-11 07:57:00","South Korea September 1st-10th exports rose 7.2% Y/Y and imports rose 3.3% Y/Y"
"2019-09-10 23:56:00","2019-09-11 07:56:00","Elders (ELD AT) Chairman Carroll is to step down and Ian Wilton has been elected as his replacement"
"2019-09-10 23:44:00","2019-09-11 07:44:00","Tabcorp (TAH AT) was informed that investigation regarding Cambodia has been closed and officials do not intend to take any action"
"2019-09-10 23:37:00","2019-09-11 07:37:00","PRE-MARKET AUSTRALIA, JAPANESE AND SOUTH KOREAN STOCK NEWS: Australian Treasurer Frydenberg will announce new powers for ASIC, Japan conducts Cabinet reshuffle, Sources suggested BoJ policymakers may be open to additional easing"
"2019-09-10 22:13:00","2019-09-11 06:13:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Japanese BSI Large Manufacturing and Australian Westpac Consumer Confidence"
"2019-09-10 22:02:00","2019-09-11 06:02:00","DAILY ASIA-PAC OPENING NEWS"
"2019-09-10 22:01:00","2019-09-11 06:01:00","Saudi Arabia condemns Israel PM Netanyahu's plan to annex parts of West Bank and calls for meeting of the Organization of Islamic Cooperation foreign ministers to discuss the move"
"2019-09-10 21:43:00","2019-09-11 05:43:00","UK summons Iran ambassador regarding oil transfers from Adrian Darya 1 tanker to Syria"
"2019-09-10 21:39:00","2019-09-11 05:39:00","US Senators reportedly expressed concerns regarding China's potential acquisition of sensitive technology through Hong Kong's special treatment under US law"
"2019-09-10 21:37:00","2019-09-11 05:37:00","UK opposition Labour Party Deputy Leader Watson calls for Brexit referendum to be conducted before a snap election, according to Huffington Post"
"2019-09-10 21:29:00","2019-09-11 05:29:00","UK PM Johnson reiterated to the Cabinet that he will not negotiate Brexit delay in Brussels on October 17th-18th and that his Brexit goal is unchanged by law passed by Parliament, according to ITV's editor citing sources"
"2019-09-10 21:23:00","2019-09-11 05:23:00","US President Trump is said to plan a crackdown on fentanyl shipments from China and others"
"2019-09-10 21:17:00","2019-09-11 05:17:00","Mexico Foreign Minister Ebrard said White House meeting was friendly but that comments made by US Border Patrol official was an unacceptable insult, adds will not accept a safe third country agreement"
"2019-09-10 21:09:00","2019-09-11 05:09:00","Poll shows majority of public back UK PM Johnson over Brexit according to Telegraph, while poll also shows Conservatives with 30% (-1) and Labour with 29% (+2) of support "
