"gmt_time","hk_time","subject"
"2020-05-17 23:50:00","2020-05-18 07:50:00","Japan Q1 exports declined 6.0% Q/Q"
"2020-05-17 23:47:00","2020-05-18 07:47:00","RBNZ buys NZD 450mln of government bonds in QE operations"
"2020-05-17 23:47:00","2020-05-18 07:47:00","RBA adds AUD 199mln to the banking system through repos vs. Prev. AUD 475mln"
"2020-05-17 23:45:00","2020-05-18 07:45:00","PRE-MARKET AUSTRALIA, JAPAN AND SOUTH KOREA STOCK NEWS: Earnings including Japan Post Holdings, MUFG, Jack Ma to leave SoftBank board and Co. is to conduct JPY 500bln buyback"
"2020-05-17 23:22:00","2020-05-18 07:22:00","RBA says excess cash at exchange settlement accounts at AUD 69.1bln vs. Prev.  AUD 71.9bln"
"2020-05-17 23:12:00","2020-05-18 07:12:00","Fed Chair Powell says Fed is not out of ammunition and can do more if needed in which he suggests there are no limits to what we can do, adds projections of 20%-25% unemployment peak sounds about right but notes US not at risk of 2nd Great Depression"
"2020-05-17 23:08:00","2020-05-18 07:08:00","Apple (AAPL) says around 100 stores worldwide have reopened, while it adds that it will continue to refine safety measures and will close stores if needed"
"2020-05-17 23:06:00","2020-05-18 07:06:00","Fed Chair Powell reiterates US will not have negative interest rates and post coronavirus recovery could last through 2021"
"2020-05-17 22:58:00","2020-05-18 06:58:00","US President Trump tweets ""The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!"""
"2020-05-17 22:52:00","2020-05-18 06:52:00","Japan is reportedly mulling relaxing travel restrictions for China and South Korea"
"2020-05-17 22:30:00","2020-05-18 06:30:00","New Zealand Services Index (Apr) 25.9 (Prev. 52.1)"
"2020-05-17 22:25:00","2020-05-18 06:25:00","Early upside seen in oil prices with WTI crude futures up 2.5% since the reopen of futures trading to reclaim the USD 30/bbl level, while mild gains also seen in US equity futures which are higher about 0.4%"
"2020-05-17 22:18:00","2020-05-18 06:18:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR IS NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include: New Zealand Services Index, Japanese GDP, Singapore Exports, Fed Chair Powell Appears on CBS"
"2020-05-17 22:05:00","2020-05-18 06:05:00","RBNZ says ICBC (1398 HK) has been registered to provide banking services in New Zealand"
"2020-05-17 22:02:00","2020-05-18 06:02:00","Hong Kong will extend social distancing measures by another 2 weeks, according to SCMP"
"2020-05-17 21:46:00","2020-05-18 05:46:00","PBoC adviser Ma Jun says PBoC should avoild buying special treasury bonds as it could fuel inflation and asset bubbles that could result in depreciation of CNY, adds PBoC could lower RRR or provide liquidity via some mechanisms to support their purchases"
"2020-05-17 21:20:00","2020-05-18 05:20:00","China's Global Times tweets that Washington is engaged in its political season and hopes to cash big on the China hate hype for domestic diversions in order to avoid culpability for its failures with saving Americans from coronavirus"
"2020-05-17 21:14:00","2020-05-18 05:14:00","ANZ Bank forecasts RBNZ to boost QE programme in August"
"2020-05-17 21:00:00","2020-05-18 05:00:00","DAILY ASIA-PAC OPENING NEWS"
