"gmt_time","hk_time","subject"
"2019-08-08 23:56:00","2019-08-09 07:56:00","PRE-MARKET AUSTRALIAN, JAPANESE AND SOUTH KOREAN STOCK NEWS: Earnings remain in focus"
"2019-08-08 23:50:00","2019-08-09 07:50:00","Japanese GDP Nominal (Q2 P) Q/Q 0.4% vs. Exp. 0.1% (Prev. 0.8%)"
"2019-08-08 23:50:00","2019-08-09 07:50:00","Japanese Money Supply M3 (Jul) Y/Y 2.0% vs. Exp. 2.0% (Prev. 2.0%)"
"2019-08-08 23:50:00","2019-08-09 07:50:00","Japanese GDP Price Index (Q2 P) Y/Y 0.4% vs. Exp. 0.3% (Prev. 0.1%)"
"2019-08-08 23:50:00","2019-08-09 07:50:00","Japanese Money Supply M2 (Jul) Y/Y 2.4% vs. Exp. 2.3% (Prev. 2.3%)"
"2019-08-08 23:44:00","2019-08-09 07:44:00","RBA Governor Lowe says thought appropriate to wait and assess development after having cut rates in quick succession, adds reasonable to expect extended period of low rates and that board is prepared to ease further to meet goals"
"2019-08-08 23:37:00","2019-08-09 07:37:00","RBA Governor Lowe says Australian economy is to expand 2.5% this year and that downward revision reflects weak consumption growth, adds expects quarterly GDP growth to increase gradually and major uncertainty is US-China trade dispute "
"2019-08-08 23:12:00","2019-08-09 07:12:00","Notice: We are currently unable to broadcast due to technical issues affecting our whole office building and are therefore unsure how long the intermittent issues will persist. We apologise for the inconvenience caused"
"2019-08-08 23:00:00","2019-08-09 07:00:00","Peru Central Bank cuts reference rate by 25bps to 2.50% as expected"
"2019-08-08 22:50:00","2019-08-09 06:50:00","RBNZ Governor Orr says New Zealand is in a great position as headwinds mount, adds too much or too soon on rates is better than too late"
"2019-08-08 22:45:00","2019-08-09 06:45:00","New Zealand Visitor Arrivals Jun) M/M -0.2% vs. Exp. 3.0% (Prev. -0.2%)"
"2019-08-08 22:34:00","2019-08-09 06:34:00","CME raises Comex 5000 silver futures margins for August by 13.9% to USD 4100 per contract"
"2019-08-08 22:32:00","2019-08-09 06:32:00","China's securities regulator denies report released during European hours that stated China is mulling the biggest overhaul to its futures market since 2015 which would provide unprecedented access to global investors"
"2019-08-08 22:18:00","2019-08-09 06:18:00","NOTICE: The earlier connectivity issues in the office building have been resolved and the service is now running as normal"
"2019-08-08 22:11:00","2019-08-09 06:11:00","We are currently experiencing Internet connectivity issues in the office. We will update you as soon as these are resolved. "
"2019-08-08 22:00:00","2019-08-09 06:00:00","New Zealand ANZ Truckometer Heavy Index (Jul) M/M 4,1% (Prev. -4.5%)"
"2019-08-08 21:53:00","2019-08-09 05:53:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Japanese GDP, Chinese CPI and PPI, RBA Statement on Monetary Policy and RBA Governor Lowe Semi-Annual Testimony"
"2019-08-08 21:42:00","2019-08-09 05:42:00","Italy Deputy PM Salvini says he will seek the PM role in an upcoming vote"
"2019-08-08 21:40:00","2019-08-09 05:40:00","DAILY ASIA-PAC OPENING NEWS"
"2019-08-08 21:08:00","2019-08-09 05:08:00","US holds off on decision regarding Huawei licenses following China suspension of agricultural purchases, according to Twitter sources"
"2019-08-08 21:00:00","2019-08-09 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-08-08 20:53:00","2019-08-09 04:53:00","UK PM Johnson reportedly will hold a general election days after the Brexit if he is forced to go to polls by a no-confidence vote, according to FT"
"2019-08-08 20:49:00","2019-08-09 04:49:00","Italian PM Conte says Deputy PM Salvini has said he wants to end the government to capitalize on popular support"
"2019-08-08 20:48:00","2019-08-09 04:48:00","News Corp (NWS) Q4 Adj. EPS USD 0.07 vs. Exp. USD 0.03, rev. USD 2.47bln vs. Exp. USD 2.55bln, declares semi-annual dividend USD 0.10 per share"
"2019-08-08 20:35:00","2019-08-09 04:35:00","All Central Bank of Turkey general managers appointed during the term of former Governor Çetinkaya were dismissed by the Bank's Assembly "
"2019-08-08 20:35:00","2019-08-09 04:35:00","Italian Deputy PM Salvini says League are ready for a confidence vote as soon as next week"
"2019-08-08 20:17:00","2019-08-09 04:17:00","Broadcom (AVGO) is to acquire Symantec's (SYMC) enterprise security assets for USD 10.7bln and it is to be financed through proceeds from new committed debt financing "
"2019-08-08 20:11:00","2019-08-09 04:11:00","RANsquawk US Market Wrap - 8th August 2019: Bond rally pauses, stocks rise"
"2019-08-08 20:06:00","2019-08-09 04:06:00","Activision Blizzard Inc (ATVI) Q2 19 (USD): adj. EPS 0.53 (exp. 0.26), Revenue 1.4bln (exp. 1.19bln). FY adj. EPS view 2.02 (exp. 2.16); FY Revenue view 6.19bln (exp. 6.38bln)"
"2019-08-08 20:05:00","2019-08-09 04:05:00","Uber Technologies Inc (UBER) Q2 19 (USD): EPS -4.72 (exp. -3.20), Revenue 3.17bln (exp. 3.39bln). Gross Bookings 15.76bln (exp. 15.8bln)"
"2019-08-08 19:30:00","2019-08-09 03:30:00","Of note for Sprint (S) & T-Mobile (TMUS), there are reportedly an increasing number of State Attorney General's which are joining forces to block the Sprint (S) and T-Mobile (TMUS) deal, according to Dealreporter citing sources"
"2019-08-08 19:30:00","2019-08-09 03:30:00","Of note for Sprint (S) & T-Mobile (TMUS), there are reportedly an increasing number of State Attorney General's which are joining forces to block the Sprint (S) and T-Mobile (TMUS) deal, according to Dealreporter citing sources"
"2019-08-08 19:29:00","2019-08-09 03:29:00","Houthi Military spokesman has reportedly announced drone attacks on Saudi Arabia's Abha airport, according to Al Jazeera"
"2019-08-08 19:25:00","2019-08-09 03:25:00","US Air Force reportedly grounds more than 100 C-130 Transports which are manufactured by Lockheed Martin (LMT), over 'Atypical' joint cracks, according to Sputnik"
"2019-08-08 19:16:00","2019-08-09 03:16:00","US T-Note futures (U9) settles 7+ ticks lower 129-29+"
"2019-08-08 19:09:00","2019-08-09 03:09:00","Bernstein reportedly positive on Kroger (KR) saying it could be acquired by Ahold"
"2019-08-08 19:06:00","2019-08-09 03:06:00","ICE says it is raising margin requirements for ICE Futures US Oil Contract, effective from the close of business on Monday August 12 2019, and reflected in margin calls made on Tuesday August 13 2019"
"2019-08-08 18:58:00","2019-08-09 02:58:00","FX WRAP: USD gives back gains after Trump reiterates Fed criticism; Bund/BTP influencing EUR as Italian govt faces collapse"
"2019-08-08 18:57:00","2019-08-09 02:57:00","Motiva Port Arthur Texas Refinery (640k BPD) is reportedly shutting its big crude unit in early September for a 2 month overhaul, according to sources"
"2019-08-08 18:47:00","2019-08-09 02:47:00","Italy's Deputy PM Di Maio is ready for elections and said League's Salvini will pay for taking Italy for a ride "
"2019-08-08 18:35:00","2019-08-09 02:35:00","US State Department Spokeswoman has called China a ""thuggish regime"" for revealing details on a US diplomat currently in Hong Kong"
"2019-08-08 18:32:00","2019-08-09 02:32:00","WTI (U9) settles USD 1.45 higher at USD 52.54/bbl; Brent (V9) settles USD 1.15 higher at USD 57.38"
"2019-08-08 17:59:00","2019-08-09 01:59:00","Italy’s ruling League Leader Salvini says there is no longer a majority to support the government and it is necessary to hold fresh elections. "
"2019-08-08 17:56:00","2019-08-09 01:56:00","UK Foreign Minister Raab reiterates UK will leave EU in October, government would prefer to leave with a deal, but if EU is not flexible, UK will leave on WTO terms"
"2019-08-08 17:52:00","2019-08-09 01:52:00","US President Trump tweets Iran is in serious financial trouble, says they want to talk to the US but they are given mixed signals from all of those purporting to represent ups, including France"
