"gmt_time","hk_time","subject"
"2020-05-10 23:58:00","2020-05-11 07:58:00","South Korea May 1st-10th Exports fell 46.3% Y/Y, Imports fell 37.2% Y/Y"
"2020-05-10 23:50:00","2020-05-11 07:50:00","BoJ Summary of Opinions from April 27th meeting states Japan economy is likely to remain in severe state for the time being, adds appropriate for the Bank to further enhance monetary easing  "
"2020-05-10 23:49:00","2020-05-11 07:49:00","RBNZ buys NZD 450mln of government bonds in QE operations"
"2020-05-10 23:42:00","2020-05-11 07:42:00","RBA adds AUD 785mln to the banking system through repos vs. Prev. AUD 1.78bln"
"2020-05-10 23:40:00","2020-05-11 07:40:00","PRE-MARKET AUSTRALIA, JAPAN AND SOUTH KOREA STOCK NEWS: Mid-cap earnings"
"2020-05-10 23:26:00","2020-05-11 07:26:00","RBA says excess cash at exchange settlement accounts at AUD 62.9bln vs. Prev.  AUD 65.9bln"
"2020-05-10 23:12:00","2020-05-11 07:12:00","Japan government will compile a 2nd extra budget to combat coronavirus pandemic and pass through in current Diet session, which is to mainly fund rent assistance, students facing falling income and expansion of corporate subsidies, according to Nikkei "
"2020-05-10 22:48:00","2020-05-11 06:48:00","CBS News White House Correspondent Ben Tracy says US VP Pence is not self isolating and plans to be at the White House on Monday "
"2020-05-10 22:45:00","2020-05-11 06:45:00","CIMIC Group (CIM AT) Q1 net AUD 166mln vs. Prev. AUD 181mln Y/Y, rev. AUD 3.3bln vs. Prev. AUD 3.4bln Y/Y"
"2020-05-10 22:15:00","2020-05-11 06:15:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR IS NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include: New Zealand Electronic Card Retail Sales and BoJ Summary of Opinions"
"2020-05-10 22:09:00","2020-05-11 06:09:00","NZIER Shadow Board says it favours further QE from the RBNZ over negative Official Cash Rate"
"2020-05-10 22:05:00","2020-05-11 06:05:00","Iraq gunmen reportedly opened fire at staffers at the Faiha Oil field"
"2020-05-10 21:59:00","2020-05-11 05:59:00","US CDC reports total coronavirus cases as of previous day increased to 1,300,696 (Prev. 1,274,036), while total death toll was at 78,771 (Prev. 77,034)"
"2020-05-10 21:43:00","2020-05-11 05:43:00","US Vice President Pence is to self isolate after an aide tested positive for coronavirus"
"2020-05-10 21:28:00","2020-05-11 05:28:00","DAILY ASIA-PAC OPENING NEWS"
