"gmt_time","hk_time","subject"
"2019-05-22 23:46:00","2019-05-23 07:46:00","Fitch says operational risks nay increase pressure on Australia bank ratings"
"2019-05-22 23:31:00","2019-05-23 07:31:00","PRE-MARKET AUSTRALIAN, JAPANESE AND SOUTH KOREAN STOCK NEWS: WTI crude futures fell over 3% and briefly tested USD 61.00/bbl to the downside"
"2019-05-22 23:00:00","2019-05-23 07:00:00","Australian CBA Services PMI (May P) 52.3 (Prev. 50.1)"
"2019-05-22 23:00:00","2019-05-23 07:00:00","Australian CBA Composite PMI (May P) 52.2 (Prev. 50.0)"
"2019-05-22 23:00:00","2019-05-23 07:00:00","Australian CBA Manufacturing PMI (May P) 51.1 (Prev. 50.9)"
"2019-05-22 22:46:00","2019-05-23 06:46:00","Australian 10yr yield declines 4bps to a fresh record low of 1.59%"
"2019-05-22 22:38:00","2019-05-23 06:38:00","Pentagon is expected to submit plans to the White House that would see as many as 10000 additional US troops deployed to the Middle East"
"2019-05-22 22:01:00","2019-05-23 06:01:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Australia CBA PMIs, Japanese Nikkei Manufacturing PMI and India Election Results"
"2019-05-22 21:58:00","2019-05-23 05:58:00","ERG's Rees Mogg says he thinks UK PM May could lose the new Brexit deal vote by over 230 votes"
"2019-05-22 21:43:00","2019-05-23 05:43:00","DAILY ASIA-PAC OPENING NEWS"
"2019-05-22 21:26:00","2019-05-23 05:26:00","1922 Executive wants PM May to announce to step down by June 10th at Friday's meeting with the 1922 Committee, according to Telegraph's Deputy Political Editor"
"2019-05-22 21:09:00","2019-05-23 05:09:00","New Zealand Finance Minister Robertson says government plans to shift to a net debt target range and is targeting debt at 15%-25% of GDP for 2021-2022"
"2019-05-22 21:05:00","2019-05-23 05:05:00","Fonterra forecasts FY18/19 milk price at NZD 6.30-6.40 vs. Prev. forecast NZD 6.30-6.60 per KG milksolids"
"2019-05-22 21:00:00","2019-05-23 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-05-22 20:38:00","2019-05-23 04:38:00","Fonterra (FSF AT) 9-month EBIT declined 9% Y/Y to NZD 522mln, rev. NZD 15.0bln vs. Prev. NZD 14.8bln Y/Y"
"2019-05-22 20:20:00","2019-05-23 04:20:00","UK Government said to be seriously considering pulling the WAB due to the amount of opposition, according to the Telegraph's Swinford"
"2019-05-22 20:03:00","2019-05-23 04:03:00","US MARKET WRAP 22 MAY 2019: FOMC Minutes reiterate neutral; Pressure on UK PM May to resign"
"2019-05-22 19:51:00","2019-05-23 03:51:00","Judge quashes US President Trump's efforts to stop Deutsche Bank subpoenae for Trump financial records"
"2019-05-22 19:49:00","2019-05-23 03:49:00","SPX MOC USD 300mln to sell (vs 400mln to sell at 1549 EDT)"
"2019-05-22 19:39:00","2019-05-23 03:39:00","White House economic advisors reportedly in support of the T-Mobile (TMUS) and Sprint (S), despite opposition from DoJ, saying final decision is up to antitrust chief Makan Delrahim, according to Fox's Gasparino"
"2019-05-22 19:39:00","2019-05-23 03:39:00","White House economic advisors reportedly in support of the T-Mobile (TMUS) and Sprint (S), despite opposition from DoJ, saying final decision is up to antitrust chief Makan Delrahim, according to Fox's Gasparino"
"2019-05-22 19:36:00","2019-05-23 03:36:00","UK Cabinet member Michael Gove to stay in his position for now, according to ITV's Paul Brand"
"2019-05-22 19:35:00","2019-05-23 03:35:00","FX WRAP: Political woes hurt GBP again"
"2019-05-22 19:24:00","2019-05-23 03:24:00","Fresh Del Monte (FDP) shares see downside after reports of a salmonella investigation for its vegetable trays"
"2019-05-22 19:07:00","2019-05-23 03:07:00","US T-Note futures (M9) settle 9+ ticks higher at 124-14"
"2019-05-22 18:58:00","2019-05-23 02:58:00","US drug price reform is coming, UBS says after it hosted talks with US government officials"
"2019-05-22 18:44:00","2019-05-23 02:44:00","Huawei executive accused of involvement in trade-secrets theft, WSJ reports"
"2019-05-22 18:43:00","2019-05-23 02:43:00","US President Trump's trip to Japan is not expected to focus heavily on trade"
"2019-05-22 18:37:00","2019-05-23 02:37:00","UK Leader of the House of Commons Andrea Leadsom resigns from UK govt; Leadsom says she no longer believes UK PM May's approach will deliver on referendum result"
"2019-05-22 18:32:00","2019-05-23 02:32:00","WTI (N9) settles USD 1.71 lower at USD 61.42/BBL; Brent (N9) settles USD 1.19 lower at USD 71.99"
"2019-05-22 18:27:00","2019-05-23 02:27:00","US-Japan trade talks get-off to a rocky start on auto duties, Nikkei reports, adding that US President Trump's threat to raise tariffs 25% looms over the negotiations"
"2019-05-22 18:25:00","2019-05-23 02:25:00","Fed's Kaplan (non-voter) says US is flirting with yield curve inversion, and it points to expectations of sluggish growth ahead"
"2019-05-22 18:17:00","2019-05-23 02:17:00","US State Department says US is not seeking war with Iran, it is more about deterrence"
"2019-05-22 18:15:00","2019-05-23 02:15:00","US State Department says US talks with North Korea are ongoing"
