"gmt_time","hk_time","subject"
"2019-10-23 23:58:00","2019-10-24 07:58:00","Dialog Semiconductor (DLG) sees Q3 oper. profit USD 85mln and rev. USD 409mln vs. Prev. guidance of USD 360mln-400mln"
"2019-10-23 23:45:00","2019-10-24 07:45:00","IOOF Holdings (IFL AT) Q1 FUMAS fell 4.5% Q/Q to AUD 142.7bln"
"2019-10-23 23:39:00","2019-10-24 07:39:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: Earnings including LG Display, Nidec and SK Hynix"
"2019-10-23 22:41:00","2019-10-24 06:41:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Updates from AMP Capital, CIMIC, Fortescue, Newcrest and Qantas"
"2019-10-23 21:45:00","2019-10-24 05:45:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include South Korea GDP and Japanese Manufacturing PMI"
"2019-10-23 21:24:00","2019-10-24 05:24:00","DAILY ASIA-PAC OPENING NEWS"
"2019-10-23 21:11:00","2019-10-24 05:11:00","UK PM Johnson reportedly faces increasing revolt from within his party over the threat of holding an election before delivering the Brexit"
"2019-10-23 21:05:00","2019-10-24 05:05:00","North Korea says its leader Kim and US President Trump continue to have close relations and trust, adds contrary to Trump, US political circles remain hostile to North Korea and will see how wisely US will pass end of the year"
"2019-10-23 21:00:00","2019-10-24 05:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-10-23 20:56:00","2019-10-24 04:56:00","Tesla (TSLA) Q3 Adj. EPS USD 1.91 vs. Exp. loss/shr USD 0.15, rev. USD 6.30bln vs. Exp. USD 6.52bln, sees positive GAAP net income going forward"
"2019-10-23 20:47:00","2019-10-24 04:47:00","Hewlett Packard Enterprise Co (HPE) guides initial FY20 EPS USD 1.78-1.94 vs. Exp. USD 1.79"
"2019-10-23 20:30:00","2019-10-24 04:30:00","O'Reilly Automotive Inc (ORLY) Q3 19 (USD): EPS 5.08 (exp. 4.79), Revenue 2.67bln (exp. 2.64bln). Q4 EPS view below expectations"
"2019-10-23 20:30:00","2019-10-24 04:30:00","O'Reilly Automotive Inc (ORLY) Q3 19 (USD): EPS 5.08 (exp. 4.79), Revenue 2.67bln (exp. 2.64bln). Q4 EPS view below expectations"
"2019-10-23 20:23:00","2019-10-24 04:23:00","RANsquawk US Market Wrap - 23rd October 2019: Lacklustre earnings sees markets little changed"
"2019-10-23 20:20:00","2019-10-24 04:20:00","Essex Property Trust Inc (ESS) Q3 19 (USD): FFO 3.35 (exp. 3.36)"
