"gmt_time","hk_time","subject"
"2020-01-26 23:58:00","2020-01-27 07:58:00","China National Health Commission confirms 2744 cases of coronavirus and death toll at 80 as of the end of January 26th"
"2020-01-26 23:50:00","2020-01-27 07:50:00","China extends Lunar New Year holiday to February 2nd to contain coronavirus, according to Xinhua"
"2020-01-26 23:47:00","2020-01-27 07:47:00","PRE-MARKET JAPANESE STOCK NEWS: Japan FSA is to require banks to hold additional capital for stock losses which is viewed as an effort to discourage practice of cross-shareholdings; South Korea is closed"
"2020-01-26 23:32:00","2020-01-27 07:32:00","UK PM Johnson is expected to decide as early as this week regarding US request to ban Huawei from the UK 5G network which could impact the UK-US ""special relationship"", according to Axios"
"2020-01-26 23:30:00","2020-01-27 07:30:00","Unpublished manuscript from former National Security Adviser Bolton states President Trump told him in August that he wanted to continue freezing security aid to Ukraine until they helped with investigations into Democrats including the Bidens"
"2020-01-26 23:21:00","2020-01-27 07:21:00","Italy League Leader Salvini says not ready to concede defeat in Emilia Romagna regional election and is awaiting fuller count"
"2020-01-26 23:11:00","2020-01-27 07:11:00","China Hubei province notes 1423 new conronavirus cases and 76 deaths as of the end of January 26th, according to a statement"
"2020-01-26 23:08:00","2020-01-27 07:08:00","Twitter sources state the epicenter of the coronavirus confirmed 371 new cases and 24 deaths to increase the death toll to 80"
"2020-01-26 23:01:00","2020-01-27 07:01:00","Risk off sentiment observed across asset classes at the reopen of electronic trade with US equity futures down 0.9% and WTI declining by nearly 2%, while T-notes are higher by around 13 ticks and spot gold up by USD 9/oz amid heigtened coronavirus fears"
"2020-01-26 22:31:00","2020-01-27 06:31:00","ASIAN DAILY ECONOMIC RELEASES: No data scheduled, Australia, China, Hong Kong, Singapore, South Korea and Taiwan are all closed today"
"2020-01-26 22:28:00","2020-01-27 06:28:00","Saudi Energy Minister says Saudi and OPEC+ producers have capability and flexibility required to respond to any developments by taking necessary action to support oil market stability if required"
"2020-01-26 22:21:00","2020-01-27 06:21:00","Saudi Energy Minister says closely observing developments in global oil market resulting from gloomy expectations regarding impact from coronavirus"
"2020-01-26 22:18:00","2020-01-27 06:18:00","DAILY ASIA-PAC OPENING NEWS"
"2020-01-26 22:09:00","2020-01-27 06:09:00","Italy's centre-left are ahead of League in Emilia Romagna, although League is set for an easy win in Calabria in the regional votes"
"2020-01-26 22:04:00","2020-01-27 06:04:00","Early flows into the safehaven JPY to start the trading week following an increase in the number of coronavirus cases to over 2000 and with the death toll at 56, while China also warns virus is getting stronger and infections could rise"
"2020-01-26 22:00:00","2020-01-27 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
