"gmt_time","hk_time","subject"
"2020-03-20 20:20:00","2020-03-21 04:20:00","Newsquawk US Market Wrap - 20th March 2020: Largest weekly stock decline since ‘08 as global economy falls off a cliff edge"
"2020-03-20 20:00:00","2020-03-21 04:00:00","Russia's Rosneft says oil could rise to USD 60/bbl by year-end if shale oil leaves the market; says Russia and OPEC should maintain contacts, according to RIA"
"2020-03-20 19:58:00","2020-03-21 03:58:00","CFTC FX COT: Specs flip to USD short for the first time since June 2018"
"2020-03-20 19:50:00","2020-03-21 03:50:00","MOC: 1.1bln (vs 1.2bln to sell at 1549); Dow 550mln (vs 650mln to sell)"
"2020-03-20 19:19:00","2020-03-21 03:19:00","McDonalds (MCD) says 95% of its China restaurants are open "
"2020-03-20 19:09:00","2020-03-21 03:09:00","Italy raises COVID-19 restrictions, saying people cannot exercise outside"
"2020-03-20 19:03:00","2020-03-21 03:03:00","Banxico cuts rates by 50bps to 6.50%, in emergency move; will add liquidity measures to provide liquidity and improve functioning of financial markets"
"2020-03-20 18:40:00","2020-03-21 02:40:00","COVID-19 CASE COUNT: "
"2020-03-20 18:36:00","2020-03-21 02:36:00","OPEC Sec General, speaking with Texas regulator, are both concerned of current market, including the impact on the security of supply; discussed potential for future cooperation"
"2020-03-20 18:33:00","2020-03-21 02:33:00","WTI (K0) settles USD 3.28 lower at 22.63/bbl"
"2020-03-20 18:32:00","2020-03-21 02:32:00","France COVID-19 total cases rises to 12,612 (prev. 10,995), death toll rises to 450 (prev. 372). "
"2020-03-20 18:16:00","2020-03-21 02:16:00","New Jersey, New York, Connecticut and Pennsylvania will need a total of USD 100bln cash assistance directly from the Federal government, according to New Jersey Governor"
"2020-03-20 17:34:00","2020-03-21 01:34:00","NY Fed to make MBS purchases of at least USD 100bln next week and will release a schedule each day for next day’s operations; purchasing USD 40bln on Monday"
"2020-03-20 17:30:00","2020-03-21 01:30:00","US COVID-19 total cases rises to 15,219 (prev. 10,442), death toll 201 (prev. 150)"
"2020-03-20 17:28:00","2020-03-21 01:28:00","UK PM Johnson says we do not want to immobilize the tube or other travel networks "
"2020-03-20 17:18:00","2020-03-21 01:18:00","US officials say Russia will be sanctioned to the degree it is caught lifting up Venezuelan oil "
"2020-03-20 17:11:00","2020-03-21 01:11:00","UK Chancellor Sunak announces a combination of measures on jobs and incomes; for the first time, government will help to pay wages"
"2020-03-20 17:10:00","2020-03-21 01:10:00","Italy COVID-19 death toll rises to 4,032 (prev. 3,405)"
"2020-03-20 17:08:00","2020-03-21 01:08:00","UK PM Johnson says we are collectively telling cafes, pubs, gyms, theaters, cinemas and restaurants to close from Friday night"
"2020-03-20 17:06:00","2020-03-21 01:06:00","NY Fed to maintain the afternoon daily USD 500bln O/N repo operations for the remainder of the month "
"2020-03-20 17:05:00","2020-03-21 01:05:00","Weekly FX Wrap: Dollar reasserts supreme global reserve status"
"2020-03-20 17:02:00","2020-03-21 01:02:00","US President Trump says he is talking about much more than a USD 1,000 check for unemployed Americans"
"2020-03-20 17:01:00","2020-03-21 01:01:00","Baker Hughes US Rig Count (w/e 20th March): Oil -19 at 664, Nat Gas -1 at 106"
"2020-03-20 16:56:00","2020-03-21 00:56:00","Some US energy officials are calling on Saudi to leave OPEC and are proposing a US-Saudi led partnership, according to WSJ citing sources "
"2020-03-20 16:47:00","2020-03-21 00:47:00","US Secretary of State Pompeo says the US has seen disinformation campaigns from China, Russia and Iran"
"2020-03-20 16:43:00","2020-03-21 00:43:00","US President Trump says he is fine with restricting buybacks, when asked about companies using fiscal aid to buyback stock"
"2020-03-20 16:32:00","2020-03-21 00:32:00","US Treasury Secretary Mnuchin says the USD 1trln bill is too small and wants more direct cash payments"
"2020-03-20 16:30:00","2020-03-21 00:30:00","EUROPEAN PRELIMINARY CASH CLOSE: EURO STOXX 50 (+2.99%) at 2532, FTSE 100 (+0.46%) at 5175, DAX (+3.69%) at 8928, CAC 40 (+5.01%) at 4049, IBEX 35 (+0.77%) at 6445, FTSE MIB (+1.62%) at 15718, SMI (-1.37%) at 8662"
"2020-03-20 16:30:00","2020-03-21 00:30:00","US President Trump says him and Schumer are not far from reaching a deal on the stimulus package"
"2020-03-20 16:26:00","2020-03-21 00:26:00","US President Trump says not considering a national lock-down at this time, doesn't think it will ever be necessary"
"2020-03-20 16:22:00","2020-03-21 00:22:00","Texas officials are reaching out to the Trump administration regarding oil output cuts; mulling a 10% cut if Saudi and Russia did the same"
"2020-03-20 16:19:00","2020-03-21 00:19:00","Canada COVID-19 total cases rises to 925 (prev. 873), death toll 12 (prev. 12)"
"2020-03-20 16:14:00","2020-03-21 00:14:00","3M (MMM) has doubled its N95 mask output to an annual rate of over 1.1bln, or, 100mln per month"
"2020-03-20 16:04:00","2020-03-21 00:04:00","US and Mexico agree to restrict non-essential travel across their border as of midnight; US/Canada restrictions will be reviewed after a 30-day period"
"2020-03-20 16:03:00","2020-03-21 00:03:00","UK BoE to buyback GBP 3bln of Gilts on Wednesday and Thursday across the 3-7s, 7-20, and 20+ maturities "
"2020-03-20 15:59:00","2020-03-20 23:59:00","OPEC Sec Gen Barkindo talks to US shale companies and US energy diplomats, according to WSJ citing sources "
"2020-03-20 15:55:00","2020-03-20 23:55:00","US President Trump says Secretary of State Pompeo to announce something related to Mexico later on Friday; US working with Mexico to stop non-essential travel at the border "
"2020-03-20 15:45:00","2020-03-20 23:45:00","German coronavirus cases stand at 18607 (Prev. 16624) "
"2020-03-20 15:35:00","2020-03-20 23:35:00","UK coronavirus death count at 167 vs. Prev. 144"
"2020-03-20 15:28:00","2020-03-20 23:28:00","New York State total cases at 7102 vs. Prev. 4152; 35 deaths "
"2020-03-20 15:20:00","2020-03-20 23:20:00","All non-essential workforce members in New York must stay at home, Governor Cuomo; only essential businesses can have commuting workers"
"2020-03-20 15:16:00","2020-03-20 23:16:00","NY Fed Nowcast: Q1, 1.5% vs. Prev. 1.6%; Q2 0.1% vs. Prev. 1.1%. "
"2020-03-20 15:11:00","2020-03-20 23:11:00","Italy's Lombardy region virus death toll stands at 2550, +380 in past 24 hours, according to sources"
"2020-03-20 15:02:00","2020-03-20 23:02:00","ECB says banking supervision provides further flexibility to banks, encourages the avoidance of excess pro-cyclical effects"
"2020-03-20 15:00:00","2020-03-20 23:00:00","Fed has expanded support for municipal and money markets via MMLF through the Boston Fed, now able to lend to financial institutions secured by assets purchased from single state or other tax exempt money market funds"
"2020-03-20 14:55:00","2020-03-20 22:55:00","German supplementary budget to counter the coronavirus will be significantly above EUR 100bln, according to sources - could have a value of EUR 150bln"
"2020-03-20 14:50:00","2020-03-20 22:50:00","Airbus (AIR FP) poised to receive French backed gov't loans, given the virus"
"2020-03-20 14:48:00","2020-03-20 22:48:00","BoE GBP 1.7bln buyback: otc 1.88x"
"2020-03-20 14:38:00","2020-03-20 22:38:00","Fixed and FX latest: Gilts still leading the bond revival, as Buck refuels"
"2020-03-20 14:36:00","2020-03-20 22:36:00","Swiss Economy Minister says Co's will be allowed to delay VAT payments"
"2020-03-20 14:36:00","2020-03-20 22:36:00","Swiss Economy Minister says Co's will be allowed to delay VAT payments"
"2020-03-20 14:35:00","2020-03-20 22:35:00","Basel committe teleconference to occur to discuss the impact of loans accounting rule on banks, a freeze in some form is required for IFRS9 - important to have same global approach, according to sources"
"2020-03-20 14:17:00","2020-03-20 22:17:00","Thai Central Bank cut rates to 0.75% vs. Prev. 1.0% in an emergency meeting"
"2020-03-20 14:15:00","2020-03-20 22:15:00","Swiss Gov't provides a CHF 32bln aid package given the coronavirus"
"2020-03-20 14:06:00","2020-03-20 22:06:00","US Treasury Secretary Mnuchin says the tax filing deadline will be moved from April 15th to July 15th"
