"gmt_time","hk_time","subject"
"2019-04-12 20:30:00","2019-04-13 04:30:00","AUDIO SERVICE HAS NOW CLOSED FOR THE WEEK. THE ASIA DESK WILL REOPEN ON SUNDAY AT 2200GMT, EUROPEAN SERVICE WILL RESUME ON MONDAY AT 0630GMT. HAVE A PLEASANT WEEKEND."
"2019-04-12 20:11:00","2019-04-13 04:11:00","S&P affirms Germany at AAA, outlook stable"
"2019-04-12 20:10:00","2019-04-13 04:10:00","RANsquawk Central Bank Weekly 12 Apr 2019: Reviewing FOMC, ECB, RBA, BCB; Previewing RBA mins, BOK"
"2019-04-12 20:10:00","2019-04-13 04:10:00","RANsquawk Week in Focus; week commencing 15 April 2019"
"2019-04-12 20:08:00","2019-04-13 04:08:00","US MARKET WRAP 12 April 2019: SPX above 2900 as earnings season gets into full swing "
"2019-04-12 19:45:00","2019-04-13 03:45:00","SPX MOC 534mln to buy (unch vs 1544 EDT)"
"2019-04-12 19:30:00","2019-04-13 03:30:00","Weekly CFTC FX COT data shows Eur shorts increasing"
"2019-04-12 19:24:00","2019-04-13 03:24:00","US T-Note futures (M9) settled 15 ticks lower at 123-03"
"2019-04-12 19:16:00","2019-04-13 03:16:00","US Secret Service is responding to a police/medical incident along the North fence of the White House"
"2019-04-12 18:55:00","2019-04-13 02:55:00","US President Trump says US will put more troops on the Southern Border with Mexico"
"2019-04-12 18:33:00","2019-04-13 02:33:00","Reportedly Twitter's (TWTR) servers were down for a short period of time"
"2019-04-12 18:31:00","2019-04-13 02:31:00","WTI (F9) settles USD 0.31 higher at USD 63.89/bbl; Brent (M9) settles USD 0.72 higher at USD 71.55/bbl"
"2019-04-12 18:07:00","2019-04-13 02:07:00","US announced fresh sanctions on Venezuela to target four companies and nine vessels"
"2019-04-12 18:01:00","2019-04-13 02:01:00","California Governor Newton has issued a report laying out a fire fund for utilities, a signal that PG&E (PCG) will get wildfire help"
"2019-04-12 17:40:00","2019-04-13 01:40:00","ECB's nowcasting model signalled 0.2% growth in Q1 and a possible slight slowdown in Q2, according to sources"
"2019-04-12 17:30:00","2019-04-13 01:30:00","UK Chancellor of the Exchequer Hammond says govt is prepared to talk about a customs union"
"2019-04-12 17:24:00","2019-04-13 01:24:00","BCB Governor Campus Neto says central bank independence would allow for lower structural interest rates"
"2019-04-12 17:19:00","2019-04-13 01:19:00","Kinder Morgan's Southern Nat Gas has cancelled the force majeure following the completion of work at Gwinville compressor station, Mississippi"
"2019-04-12 17:01:00","2019-04-13 01:01:00","Baker Hughes (April 12): oil rigs +2 at 833, gas rigs -5 at 189, total rigs -3 at 1022"
"2019-04-12 17:00:00","2019-04-13 01:00:00","BoJ Governor Kuroda says global economy is continuing its expansion, but does not he is seeing global slowdown from second half of last year"
"2019-04-12 16:53:00","2019-04-13 00:53:00","BRL weakens after Geopolitical Consultancy Eurasia says they see the Brazilian House Committee likely to delay the pension vote, "
"2019-04-12 16:44:00","2019-04-13 00:44:00","US President Trump calls ICC ""illegitimate"" and says if anybody targets Israel, the US or allied personnel they will be met with a ""swift a vigorous response"""
"2019-04-12 16:43:00","2019-04-13 00:43:00","Germany Economy Minister Scholz says it is a priority for the EU and the US to end current trade dispute and aim for a more open and extensive trading relationship"
"2019-04-12 16:40:00","2019-04-13 00:40:00","US President Trump tweets he is considering placing immigrants into sanctuary cities"
"2019-04-12 16:40:00","2019-04-13 00:40:00","Reports that Mexico's proven oil reserves are at 7.2 billion barrels, as of the beginning of 2019"
"2019-04-12 16:38:00","2019-04-13 00:38:00","CNBC's Vajarian notes unusual option activity on Microsoft (MSFT)"
"2019-04-12 16:36:00","2019-04-13 00:36:00","US Justice Department say GE have agreed to pay USD 1.5bln relating misrepresentation of sub-prime loans"
"2019-04-12 16:10:00","2019-04-13 00:10:00","US deputy energy secretary says US government offered expertise for the design of a new oil refinery in Mexico"
"2019-04-12 16:08:00","2019-04-13 00:08:00","China Premier Li says Beijing is committed to rules-based free trade with Europe, FT reports"
"2019-04-12 16:04:00","2019-04-13 00:04:00","Royal Dutch Shell (RDS NA) says no significant flaring today at its 404k Pernis, Netherlands refinery"
"2019-04-12 15:49:00","2019-04-12 23:49:00","China officials tell WTO that Australia's restriction on Chinese 5G technology is discriminative and appear to violate WTO rules; offical says country-specific restrictions on 5G cannot address concerns about cybersecurity, or make any one safe"
"2019-04-12 15:32:00","2019-04-12 23:32:00","Biohaven (BHVN) is said to be mulling a sale"
"2019-04-12 15:30:00","2019-04-12 23:30:00","EUROPEAN PRELIMINARY CASH EQUITY CLOSE: EURO STOXX 50 (+0.38%), FTSE 100 (+0.14%), DAX (+0.54%), CAC (+0.33%), IBEX (+0.28%), FTSE MIB (+0.75), SMI (-0.67%)"
"2019-04-12 15:18:00","2019-04-12 23:18:00","NY Fed GDP nowcast (Q1) 1.4% (unchanged); (Q2) raised to 2% (prev. 1.9%)"
"2019-04-12 15:15:00","2019-04-12 23:15:00","Big3 Basketball has asked federal agencies to investigate actions by related to Chartered Communications's (CHTR) CEO related to a bid to buy 21 regional networks"
"2019-04-12 15:06:00","2019-04-12 23:06:00","Weekly FX Wrap: easy ECB, neutral FOMC, another ‘Brextension’ and EM divergence"
"2019-04-12 15:01:00","2019-04-12 23:01:00","EU Commission has reportedly made a list of US imports to potentially impose tariffs on due to the Boeing (BA) WTO case, list to target around EUR 20bln of US goods, according to an EU diplomat"
"2019-04-12 14:36:00","2019-04-12 22:36:00","WPP (WPP LN) reportedly expects bids from at least five funds for Kantar ahead of the April 17th deadline, according to sources"
"2019-04-12 14:27:00","2019-04-12 22:27:00","Wells Fargo (WFC) CFO expects NII to fall between 2% and 5%"
"2019-04-12 14:23:00","2019-04-12 22:23:00","Bristol-Myers Squibb Co (BMY) have been successful in their shareholder vote for their takeover of Celgene (CELG)"
"2019-04-12 14:22:00","2019-04-12 22:22:00","Eni (ENI IM) says its operations in Libya are working as usual as military attacks were over 25km away"
"2019-04-12 14:20:00","2019-04-12 22:20:00","Bristol Myers-Squibb (BMY) say they don't expect a change in the dividend policy post the Celgene (CELG) deal "
"2019-04-12 14:17:00","2019-04-12 22:17:00","Target Corp (TGT) Executive Office reported open market sales of 20k common shares yesterday at an average price of USD 80.83/shr"
"2019-04-12 14:12:00","2019-04-12 22:12:00","Klepierre (LI FP) has no current plans to make an approach for Hammerson (HMSO LN), according to sources "
"2019-04-12 14:11:00","2019-04-12 22:11:00","ECB's Praet (Dovish) says the ECB does not need to lower rates and is aware of the negative effects but it's in the toolbox"
"2019-04-12 14:01:00","2019-04-12 22:01:00","ECB President Draghi (Dovish) reiterates that ample degree of monetary accommodation remains necessary"
"2019-04-12 13:50:00","2019-04-12 21:50:00","US Movers: Anadarko (APC) +32.2%, Disney (DIS) +10.9%, JP Morgan Chase (JPM) +4%, Goldman Sachs (GS) +2.8%, Chevron (CVX) -5.2%, Netflix (NFLX) -3.8%"
"2019-04-12 13:48:00","2019-04-12 21:48:00","FCC chairman set to announce a USD 26bln fund for rural 5G service and a 5G spectrum auction, agency calling it the largest ever at the White House, according to CNBC"
"2019-04-12 13:39:00","2019-04-12 21:39:00","UK Chancellor Hammond has reappointed FPC member Anil Kashyap and MPC member Saunderes to BoE Policy Committees"
"2019-04-12 13:13:00","2019-04-12 21:13:00","Occidental Petroleum Corp (OXY) is reportedly bidding over USD70/shr for Anadarko (APC) with Occidental now considering their options, according to CNBC citing sources"
"2019-04-12 13:13:00","2019-04-12 21:13:00","Occidental Petroleum Corp (OXY) is reportedly bidding over USD70/shr for Anadarko (APC) with Occidental now considering their options, according to CNBC citing sources"
"2019-04-12 13:11:00","2019-04-12 21:11:00","ECB's Praet (Dovish) says there is no need to further compress the term premium "
"2019-04-12 13:09:00","2019-04-12 21:09:00","UK Shadow Chancellor McDonnell is hopeful and optimistic regarding ongoing cross-party talks"
"2019-04-12 13:05:00","2019-04-12 21:05:00","US Auto Safety Agency has opened an investigation into Nissan (NSANY) over rogue braking in 675k vehicles"
"2019-04-12 13:03:00","2019-04-12 21:03:00","RANsquawk Daily US Equity Opening News - 12th April 2019"
"2019-04-12 13:03:00","2019-04-12 21:03:00","Ferrari (RACE IM) Chairman says that they are currently in line with FY targets"
"2019-04-12 13:01:00","2019-04-12 21:01:00","US and China have agreed to measures that US officials believe will encourage China to avoid currency manipulation by requiring enhanced disclosure of economic actions, according to WSJ sources "
"2019-04-12 12:59:00","2019-04-12 20:59:00","ECB's Chief Economist Praet (Dovish) does not see de-anchoring of inflation expectations"
"2019-04-12 12:49:00","2019-04-12 20:49:00","Chevron (CVX) expect to exceed previous Permian output target"
"2019-04-12 12:41:00","2019-04-12 20:41:00","Fixed and FX latest: bonds remain depressed, and the Buck weak"
"2019-04-12 12:30:00","2019-04-12 20:30:00","Teranet Canadian Home Prices (Mar) -0.3% M/M"
"2019-04-12 12:01:00","2019-04-12 20:01:00","Merck (MRK GY) - Co. have entered into a definitive agreement to purchase Versum Materials (VSM)"
"2019-04-12 12:00:00","2019-04-12 20:00:00","Wells Fargo & Co. (WFC) Q1 diluted USD 1.20 vs. Exp. USD 1.08, revenue USD 21.6bln vs. Exp. USD 20.87bln"
"2019-04-12 11:54:00","2019-04-12 19:54:00","Scotiabank FX Daily - Risk Appetite Bolstered By Impressive China Lending Data  "
"2019-04-12 11:53:00","2019-04-12 19:53:00","ECB's Weidmann (hawk) states that he would not overestimate the influence of tiering on bank lending "
"2019-04-12 11:49:00","2019-04-12 19:49:00","Santander (SAN SM) chairman says bank is not interested in German banks"
"2019-04-12 11:48:00","2019-04-12 19:48:00","USGS reports magnitude 7 earthquake strikes South of Indonesia's Sulawesi"
