"gmt_time","hk_time","subject"
"2020-02-25 23:52:00","2020-02-26 07:52:00","Brazil's Health Ministry says a man has tested positive for coronavirus in an initial test, but they're waiting for results from a 2nd test. If confirmed. it would be South America's first case, according to BNO Newswroom"
"2020-02-25 23:37:00","2020-02-26 07:37:00","China ‘fully expected’ to meet trade deal terms despite coronavirus, top US officials say, reports ⁦"
"2020-02-25 23:29:00","2020-02-26 07:29:00","A source familiar with the Hong Kong government’s position said a cash handout of some sort was inevitable given mounting pressure from all sides, though details were still being hammered out by Finance Minister Chan’s inner circle early this week"
"2020-02-25 23:26:00","2020-02-26 07:26:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: ANA (9202 JT) – Co. will suspend flights between Kansai International Airport in Osaka and China amid hampered traffic due to the outbreak. (Nikkei)"
"2020-02-25 23:13:00","2020-02-26 07:13:00","Britain is to launch mass coronavirus tests amid fears that the spike in numbers in Europe means that there could be far more cases in the UK than are known about, via Telegraph"
"2020-02-25 22:37:00","2020-02-26 06:37:00","Fed's Kaplan (Voter, Dove) says events are still too fluid around the coronavirus outbreak to say the Fed needs to lower short-term rates, as many in financial markets now think is likely, WSJ "
"2020-02-25 22:37:00","2020-02-26 06:37:00","Fed's Kaplan (Voter, Dove) says events are still too fluid around the coronavirus outbreak to say the Fed needs to lower short-term rates, as many in financial markets now think is likely, WSJ "
"2020-02-25 22:34:00","2020-02-26 06:34:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Woolworths (WOW AT) – H1 net AUD 979mln vs. Prev. AUD 902mln. EBIT AUD 1.89bln vs. Prev. AUD 1.42bln. Revenue AUD 32.4bln. (Newswires) "
"2020-02-25 22:32:00","2020-02-26 06:32:00","A second coronavirus case has been reported in Africa, tests indicate an Italian adult who arrived in the country on 17 February has tested positive, according to WHO Africa"
"2020-02-25 22:18:00","2020-02-26 06:18:00","Chevron (CVX) has reportedly asked staff in London to work from home after an employee was tested for coronavirus - although an infection has not been confirmed, according to sources"
"2020-02-25 22:07:00","2020-02-26 06:07:00","Madrid reports first case of coronavirus, 5th case in Spain in 24 hours, BNO Newswroom"
"2020-02-25 22:05:00","2020-02-26 06:05:00","Sources note of some discussions  in White House about whether to declare national emergency under Stafford Act to deal with coronavirus, but hasn’t yet been seriously considered, per those close to the discussions, according to Bloomberg News' Jacobs"
"2020-02-25 21:56:00","2020-02-26 05:56:00","San Francisco Mayor has declared a state of emergency to prepare for the coronavirus, no confirmed cases of the virus in San Francisco yet, according to SF Chronicles "
"2020-02-25 21:54:00","2020-02-26 05:54:00","ASIAN DAILY ECONOMIC RELEASE CALENDAR IS AVAILABLE IN THE RESEARCH SECTION OF THE WEBSITE: Highlights include Japanese BoJ Core CPI"
"2020-02-25 21:47:00","2020-02-26 05:47:00","DAILY ASIA-PAC OPENING NEWS"
"2020-02-25 21:38:00","2020-02-26 05:38:00","US Private Inventory Crude Stocks (w/e 21st Feb) +1.3mln (exp. +2.0mln, prev. +4.2mln)"
"2020-02-25 21:19:00","2020-02-26 05:19:00","Newsquawk US Market Wrap - 25th February 2020: No reprieve for risk assets as COVID-19 sinks its teeth"
"2020-02-25 21:09:00","2020-02-26 05:09:00","Disney (DIS) has named Bob Chapek, current Chairman of Parks, Experiences and Products as its new CEO, exisiting CEO Robert Iger will move to Executive Chairman"
"2020-02-25 21:05:00","2020-02-26 05:05:00","Salesforce.Com Inc (CRM) Q4 19 (USD): Adj. EPS 0.66 (exp. 0.56), Revenue 4.85bln (exp. 4.75bln). Raises FY21 revenue guidance to 21-21.1bln (prev. 20.8-20.9bln) "
"2020-02-25 21:00:00","2020-02-26 05:00:00","CoStar Group Inc (CSGP) Q4 19 (USD): EPS 2.82 (exp. 2.62), Revenue 375mln (exp. .36bln)."
"2020-02-25 20:33:00","2020-02-26 04:33:00","US Private Inventory Expectations (bbls): Crude stocks +2mln, Distillates -1.7mln and Gasoline -2.2mln. "
"2020-02-25 20:26:00","2020-02-26 04:26:00","FDA Commissioner Hahn noted the coronavirus outbreak will likely disrupt medical supply chain in the US, including potential shortages"
"2020-02-25 20:22:00","2020-02-26 04:22:00","US-T-NOTE FUTURES (H20) SETTLE 15 TICKS HIGHER AT 133.04"
"2020-02-25 20:18:00","2020-02-26 04:18:00","Fed's Clarida (Voter) says Fed looks at a very broad range of financial data, not just stock markets"
"2020-02-25 20:18:00","2020-02-26 04:18:00","CDC official says it is no longer a question of if a coronavirus pandemic will happen, but when it will happen, but the immediate risk to the US remains low. NHC's Fauci noted a possible vaccine could face human trial in a month and a half"
"2020-02-25 20:12:00","2020-02-26 04:12:00","US Democratic Primary Presidential Candidate Poll via Reuters/Ipsos: Sanders has an 11% lead among registered democrats and independent voters"
"2020-02-25 20:06:00","2020-02-26 04:06:00","First reported COVID-19 case in Southwestern German region Baden-Wuerttemberg, according to local government statement; indivdual recently returned from Milan, Italy"
"2020-02-25 20:00:00","2020-02-26 04:00:00","Fed's Clarida says US economy and monetary policy are in a good place, says it is still too soon to speculate on whether the coronavirus will lead to a material change in US economic outlook, noting the Fed is closely monitoring the outbreak"
"2020-02-25 19:55:00","2020-02-26 03:55:00","WATCH LIVE: US health officials hold news briefing on coronavirus outbreak at 20:00 GMT / 15:00 ET"
"2020-02-25 19:45:00","2020-02-26 03:45:00","Shell (RDS.A LN) reported working activities at its Deer Park, Texas refinery (340k BPD), which could cause flaring"
"2020-02-25 19:32:00","2020-02-26 03:32:00","WTI (J0) settles USD 1.53 lower at USD 49.90/bbl; Brent (J0) settles USD 1.35 lower at USD 54.95/bbl"
"2020-02-25 19:00:00","2020-02-26 03:00:00","Fed Discount Rate Minutes: All 12 banks voted to keep the discount rate unchanged and would keep it such barring a material change to the US outlook"
"2020-02-25 18:58:00","2020-02-26 02:58:00","NEC Director Kudlow says further COVID-19 travel restrictions are being considered but no decision has been made"
"2020-02-25 18:47:00","2020-02-26 02:47:00","IPC state electronics manufacturers expect at least a 5-week product shipment delay from suppliers as a result of the coronavirus"
"2020-02-25 18:47:00","2020-02-26 02:47:00","US NEC Director Kudlow, when asked if China can make its commitments to the US now its economy is struggling, says it is so far only struggling in Q1 and will see what happens after then"
"2020-02-25 18:42:00","2020-02-26 02:42:00","US NEC Director Kudlow says he ha not heard any talk of possible FOMC rate cuts, publicly or privately - from CNBC interview "
"2020-02-25 18:32:00","2020-02-26 02:32:00","US NEC Director Kudlow says the US is ahead of the curve laying out emergency plans for COVID-19; doesn't believe it will be an economic tragedy ""at all"" - from CNBC interview"
"2020-02-25 18:18:00","2020-02-26 02:18:00","Iovance Biotherapeutics (IOVA) is reportedly mulling a potential sale"
"2020-02-25 18:18:00","2020-02-26 02:18:00","US 10-year Treasury Note yield falls below its record low of 1.321%"
"2020-02-25 18:06:00","2020-02-26 02:06:00","FAA is mandating a new safety fixes before Boeing (BA) 737 MAX jets can unground, targeting assembly-line lapses that could cause engine power loss in the event of lightning, according to WSJ"
"2020-02-25 18:05:00","2020-02-26 02:05:00","Eleventh reported death in Northern Italy from COVID-19"
"2020-02-25 18:02:00","2020-02-26 02:02:00","US sells USD 40bln of 2-year Notes, tails by 1.6bps"
"2020-02-25 17:56:00","2020-02-26 01:56:00","French health official announces two new confirmed COVID-19 cases in France"
"2020-02-25 17:45:00","2020-02-26 01:45:00","PREVIEW: US to sell USD 40bln of 2-year Notes at 13:00 EST / 18:00 GMT"
"2020-02-25 17:31:00","2020-02-26 01:31:00","Exxon's (XOM) Baton-Rouge, Louisiana refinery (502k BPD) is restarting its small crude unit, according to sources"
"2020-02-25 17:22:00","2020-02-26 01:22:00","Mexico's Finance Minister says the government is focused on reactivating the economy, noting the spending cycle is quicker this year than in previous years"
"2020-02-25 17:17:00","2020-02-26 01:17:00","Italy Health Minister says there has been three further deaths; is commitment by bordering countries to keep the borders open"
"2020-02-25 17:03:00","2020-02-26 01:03:00","Romania confirms first case of COVID-19 where the patient returned from Italy three weeks ago, according to local press"
"2020-02-25 16:48:00","2020-02-26 00:48:00","US HHS Secretary Azar says no reports yet of potential shortages of prescription drugs due to the COVID-19"
"2020-02-25 16:35:00","2020-02-26 00:35:00","US CDC says COVID-19 epidemic is rapidly evolving and expanding; vaccine could be ready in a year; Americans should prepare for possible spreads in communities"
"2020-02-25 16:33:00","2020-02-26 00:33:00","European stocks prelim cash closes: Stoxx50 -1.9% at 3299.62, Dax -1.8% at 12794.9, FTSE 100 -1.9% at 7017.9, Cac 40 -2% at 5675.97, IBEX -2.3% at 9263.7, FTSE MIB -1.3% at 23131.17, SMI -2.2% at 10478.51"
"2020-02-25 16:26:00","2020-02-26 00:26:00","WHO's Aylward says China is probably not missing a huge amount of cases and asymptomatic transmission doesn't seem to be a big factor"
"2020-02-25 16:21:00","2020-02-26 00:21:00","UK PM Johnson spokesperson says other trade partners have not sought to impose the kind of onerous commitments that the EU is after"
"2020-02-25 16:16:00","2020-02-26 00:16:00","Barclays (BARC LN) CEO says he is not going anywhere"
"2020-02-25 16:11:00","2020-02-26 00:11:00","McKesson (MCK) and Johnson & Johnson (JNJ) are reportedly making ground on an opioid settlement with states"
"2020-02-25 16:09:00","2020-02-26 00:09:00","US HHS Secretary Azar believes there will likely be more COVID-19 cases in the US; US has a stockpile of vemtilator and masks but not enough for an outbreak"
"2020-02-25 16:09:00","2020-02-26 00:09:00","US HHS Secretary Azar believes there will likely be more COVID-19 cases in the US; US has a stockpile of vemtilator and masks but not enough for an outbreak"
"2020-02-25 16:07:00","2020-02-26 00:07:00","US Trade Panel says domestic producers have not been harmed by imports of fabricated structural steel from Canada, China and Mexico"
"2020-02-25 16:04:00","2020-02-26 00:04:00","Daily FX Wrap: topsy-turvy trade as markets mull nCoV spread vs containment efforts"
"2020-02-25 16:03:00","2020-02-26 00:03:00","Swiss health authorities says there is no bigger threat from COVID-19 at the current stage; expects results of about 70 COVID-19 tests within the next hours"
"2020-02-25 16:00:00","2020-02-26 00:00:00","FDIC: US banking sector profits were down 1.5% in 2019 on slower growth in NII and higher loan loss provision"
"2020-02-25 15:54:00","2020-02-25 23:54:00","CBRT Chief says preliminary indicators are confirming the economic recovery is strengthening "
"2020-02-25 15:46:00","2020-02-25 23:46:00","WHO's Aylward says China coronavirus cases are down but not zero, adding a lot of disease remains in the country which needs to be dealt with"
"2020-02-25 15:46:00","2020-02-25 23:46:00","ECB's Villeroy says that the coronavirus is predominantly a supply-side shock and therefore the adequacy of any monetary policy response should not be overstated "
"2020-02-25 15:39:00","2020-02-25 23:39:00","US Senate Democratic Leader Schumer is calling for at least USD 3.1bln in new funding for a response to the coronavirus  "
"2020-02-25 15:32:00","2020-02-25 23:32:00","UK DMO are to sell GBP 1.1bln 0.125% 2028 I/L on March 5th, GBP 3.5bln 0.625% 2025, GBP 400mln 1.75% 2057 via tender"
"2020-02-25 15:31:00","2020-02-25 23:31:00","WHO's Aylward says the coronavirus is a rapidly escalating epidemic in places, have to tackle super fast to prevent a pandemic"
"2020-02-25 15:22:00","2020-02-25 23:22:00","EU Chief Brexit Negotiator Barnier notes that EU-UK trade talks will begin on Monday, and the conclusion of round one will be on Thursday; EU wont conclude talks at any price"
"2020-02-25 15:21:00","2020-02-25 23:21:00","Walmart (WMT) - is reportedly combining its online and store buying teams, in order to reduce conflict between the units and to boost profits, WSJ"
"2020-02-25 15:19:00","2020-02-25 23:19:00","Tesla (TSLA) - Confirmation of reports that the NTSA are to hold a meeting today at 09:30EST to confirm the probable cause of a fatal Tesla crash in California in March 2018"
"2020-02-25 15:13:00","2020-02-25 23:13:00","Lufthansa (LHA GY) - Co. are reportedly considering a hiring suspension, and will not be able to avoid cancelling some projects and cutting costs, Handelsblatt citing an executive; flight cancellations to China are afflicting the Co."
"2020-02-25 14:56:00","2020-02-25 22:56:00","Swiss newspaper Blick suggests that the Swiss Government have confirmed the first case of the coronavirus in Switzerland; note, Swiss Health Ministry has not updated its website yet  "
"2020-02-25 14:52:00","2020-02-25 22:52:00","US Secretary of State Pompeo says that if Russia undermines the US electoral process, the US will take appropriate measures "
"2020-02-25 14:48:00","2020-02-25 22:48:00","Cleveland Research raises its McDonald’s (MCD) US SSS estimate for Q1 to 5.5% (prev. 4.5%)"
"2020-02-25 14:48:00","2020-02-25 22:48:00","GSX Techdeu (GDX) - Grizzly Research negative on the Co. saying it is the ""worst publicly traded education company"" and there are concerns about its management"
"2020-02-25 14:45:00","2020-02-25 22:45:00","PRIMER: US Richmond Fed (Feb.); Other regionals have been strong, although markit’s national survey was weak"
"2020-02-25 14:45:00","2020-02-25 22:45:00","PRIMER: US Consumer Confidence (Feb); Headline expected to rise slightly to 132.0 from 131.6"
"2020-02-25 14:39:00","2020-02-25 22:39:00","US Equity Open: Tentative gains after Monday’s upset, futures rangebound; KEYS +9.6%, INTU +5.1%, HPQ +3.8%, AMD +2.5%, PANW -16.5%, MA -1.0%"
"2020-02-25 14:31:00","2020-02-25 22:31:00","Spain confirm a new case of coronavirus in Catalonia, local press"
"2020-02-25 14:25:00","2020-02-25 22:25:00","USDA and USTR report progress on the implementation of the US-China Phase One deal"
"2020-02-25 14:20:00","2020-02-25 22:20:00","Apple (AAPL) supplier Jabil (JBL) notes that the COVID-19 outbreak will see a negative impact on Q2 fiscal guidance (Previously provided on December 17th)"
"2020-02-25 14:09:00","2020-02-25 22:09:00","Motiva Port Arthur (636k BPD) Texas refinery is currently restarting a Cat feed hydrotreater, according to sources "
"2020-02-25 14:06:00","2020-02-25 22:06:00","Newsquawk Daily US Equity Opening News - 25th February 2020"
"2020-02-25 14:05:00","2020-02-25 22:05:00","Hungarian Central Bank statement: Will keep policy accommodative, stands ready to use tools to reach mandate and drops reference to CPI risks being symmetrical"
"2020-02-25 14:00:00","2020-02-25 22:00:00","The White House has noted that President Trump's earlier reference to being ""very close"" to a vaccine was referring to Ebola, not coronavirus "
"2020-02-25 13:49:00","2020-02-25 21:49:00","Fixed and FX latest: core bonds and Buck meander"
"2020-02-25 13:40:00","2020-02-25 21:40:00","Barclays (BARC LN) are being pushed by activist investor Edward Bramson to address current governance issues"
"2020-02-25 13:30:00","2020-02-25 21:30:00","Philadelphia Fed Non-Manufacturing Business Activity (Feb.) 36.1 (prev. 23.5)"
"2020-02-25 13:26:00","2020-02-25 21:26:00","Johnson & Johnson (JNJ) has launched its ""heartline"", a virtual study exploring whether a new iPhone app and Apple Watch can help reduce the risk of a stroke "
