"gmt_time","hk_time","subject"
"2020-03-04 23:55:00","2020-03-05 07:55:00","Bernie Sanders and Elizabeth Warren are reportedly in discussions of cooperating if the latter exits the presidential race, according to Washington Post"
"2020-03-04 23:47:00","2020-03-05 07:47:00","US President Trump says will be interviewed by Sean Hannity tonight at 2100EST on Fox News"
"2020-03-04 23:39:00","2020-03-05 07:39:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: Japan GPIF is expected to raise its weighting in foreign bonds in a potentially market-moving portfolio review set for as early as this month"
"2020-03-04 23:29:00","2020-03-05 07:29:00","Reports noted that Israeli jets targeted the Hezbollah HQ in Homs and that Iranian-backed militias' weapons depots were destroyed in Quneitra"
"2020-03-04 22:54:00","2020-03-05 06:54:00","PRE-MARKET AUSTRALIAN STOCK NEWS: TPG Telecom (TPM AT) H1 underlying net AUD 157.9mln vs. Prev. 225.2mln Y/Y, raises FY20 underlying EBITDA forecast and ACCC says will not appeal decision to allow TPG-Vodafone merger "
"2020-03-04 22:50:00","2020-03-05 06:50:00","Syrian air defences intercept hostile targets over Homs"
"2020-03-04 22:48:00","2020-03-05 06:48:00","Australian Finance Minister Cormann reiterates that stimulus will be announced very soon"
"2020-03-04 22:41:00","2020-03-05 06:41:00","Fed's Bullard says situation around coronavirus remains volatile and Fed is monitoring it daily, adds will not prejudge March meeting and that a barrier to cutting again this month is that action has just been taken would need data to justify another cut"
"2020-03-04 22:30:00","2020-03-05 06:30:00","US Vice President Pence says there are over 100 Coronavirus cases in US, adds there was one additional death today"
"2020-03-04 22:28:00","2020-03-05 06:28:00","The Times's Matt Chorley tweets that UK Parliament could break for Easter and not come back until September citing a senior parliamentary source"
"2020-03-04 22:17:00","2020-03-05 06:17:00","ASIAN DAILY ECONOMIC RELEASE CALENDAR IS AVAILABLE IN THE RESEARCH SECTION OF THE WEBSITE: Highlights include: Australian Trade Balance, Japanese Securities Flows and 30yr JGB Auction"
"2020-03-04 22:13:00","2020-03-05 06:13:00","Australian Treasury Secretary Kennedy says estimates coronavirus will shed 0.5 ppts of GDP in Q1 and estimate does not include supply chain disruption and broader effects, adds bushfires and virus will have negative impact on budget"
"2020-03-04 22:06:00","2020-03-05 06:06:00","US Defense Secretary Esper says North Korea missile capabilities are becoming increasingly complicated, acccording to Yonhap"
"2020-03-04 22:00:00","2020-03-05 06:00:00","DAILY ASIA-PAC OPENING NEWS"
"2020-03-04 21:50:00","2020-03-05 05:50:00","US CMS reportedly announces actions to address spread of coronavirus in which it is calling on healthcare providers to activate inspection control practices and issues guidance on inspecting facilities affected by coronavirus"
"2020-03-04 21:49:00","2020-03-05 05:49:00","Japan GPIF is expected to raise its weighting in foreign bonds in a potentially market-moving portfolio review set for as early as this month, according to Nikkei"
"2020-03-04 21:44:00","2020-03-05 05:44:00","China Global Times tweets as US economy faces rising pressure from coronavirus, the US could be more compelled to suspend tariffs on China and a turning point in the tradewar might be reached due to the epidemic citing Chinese trade experts "
"2020-03-04 21:42:00","2020-03-05 05:42:00","US House passed USD 8.3bln coronavirus bill as expected"
"2020-03-04 21:30:00","2020-03-05 05:30:00","Fed adopts final rule establishing stress capital buffer for large US banks which Fed staff estimate would increase capital requirement for largest banks and lower requirements for smaller, less complex banks"
"2020-03-04 21:22:00","2020-03-05 05:22:00","Zoom Video Communications Inc (ZM) Q4 19 (USD): EPS 0.15 (exp. 0.07), Revenue 188mln (exp. 176mln). Guides Q1 and FY20 EPS and Revenue estimates above expectations"
"2020-03-04 21:10:00","2020-03-05 05:10:00","Newsquawk US Market Wrap - 4th March 2020: Markets pare losses; Biden beats Sanders; BOC cuts 50bps"
"2020-03-04 21:02:00","2020-03-05 05:02:00","Splunk Inc (SPLK) Q4 20 (USD): Adj. EPS 0.96 (exp. 0.97), Revenue 791mln (exp. 783mln). Q1 and FY21 Revenue view beneath expectations"
"2020-03-04 20:50:00","2020-03-05 04:50:00","MOC: SPX 5bln to buy (vs 150mln to sell at 1549); Dow 1.5bln to buy (vs 150mln to buy)"
"2020-03-04 20:44:00","2020-03-05 04:44:00","New York Governor Cuomo says total confirmed cases in New York rises to 11 (prev. 6); including five more positive cases in Westchester"
"2020-03-04 20:40:00","2020-03-05 04:40:00","38 of 42 mainland Apple (AAPL) China stores have been reopened "
"2020-03-04 20:34:00","2020-03-05 04:34:00","Apple (AAPL) is reportedly warning retail staff of replacement iPhone shortages "
"2020-03-04 20:21:00","2020-03-05 04:21:00","Wells Fargo (WFC) is to raise minimum hourly wage to USD 20/hr in majority of its US markets effecting 20,000 employees"
"2020-03-04 20:21:00","2020-03-05 04:21:00","Wells Fargo (WFC) is to raise minimum hourly wage to USD 20/hr in majority of its US markets effecting 20,000 employees"
"2020-03-04 20:18:00","2020-03-05 04:18:00","CDC estimates that the coronavirus fatality rate is between 0.5 and 1%"
"2020-03-04 20:08:00","2020-03-05 04:08:00","US T-NOTE FUTURES (H0) SETTLED 8 TICKS HIGHER AT 136-08"
"2020-03-04 20:04:00","2020-03-05 04:04:00","Airbus (AIR FP) is reportedly considering cutting output of its A330 in response to the coronavirus impact"
"2020-03-04 19:51:00","2020-03-05 03:51:00","California has reported its first death from the coronavirus "
"2020-03-04 19:49:00","2020-03-05 03:49:00","Prosiebensat Media (PSM GY) reportedly near a deal to acquire Meet Group (MEET), according to sources "
"2020-03-04 19:45:00","2020-03-05 03:45:00","United Airlines (UAL) reducing flights and freezing hiring amid COVID-19; trimming international flying by 20% and US flying by 10% for April, with similar reductions expected for May"
"2020-03-04 19:32:00","2020-03-05 03:32:00","WTI (J0) settles USD 0.40 lower at USD 46.78/bbl; Brent (K0) settles USD 0.73 lower at USD 51.13/bbl"
"2020-03-04 19:27:00","2020-03-05 03:27:00","Total COVID-19 cases in greater Seattle rises to 39 (prev. 27) and 10 deaths (prev. 9), according to Washington state Health Department"
"2020-03-04 19:13:00","2020-03-05 03:13:00","Italy's PM Conte says they will ask EU for flexibility in the budget that Italy may need"
"2020-03-04 19:00:00","2020-03-05 03:00:00","Fed Beige Book: US Economic activity expanded at a modest to moderate rate over past several weeks with COVID-19 being cited as a risk, as well as already weighing on travel and tourism"
"2020-03-04 18:36:00","2020-03-05 02:36:00","French official says France has 285 confirmed COVID-19 cases (prev. 257 earlier on Wednesday)"
"2020-03-04 18:28:00","2020-03-05 02:28:00","FDA warns of mental health side effects of Merck's (MRK) asthma and allergy drug singulair"
"2020-03-04 18:09:00","2020-03-05 02:09:00","US VP Pence says US death toll from COVID-19 has risen to ten"
"2020-03-04 18:02:00","2020-03-05 02:02:00","BoE's Broadbent says there could be a role for economic policy to support activity and credit provision amid the COVID-19 outbreak; we are in regular and close contact with government officials and other central banks"
"2020-03-04 17:58:00","2020-03-05 01:58:00","Uber Inc (UBER) still sees profitability in Q4 2020, feeling more confident now than the prior update"
"2020-03-04 17:46:00","2020-03-05 01:46:00","UAE Energy Minister says OPEC+ JMMC made a recommendation which will not reveal, but Russia is onboard, according to S&P Global Platts"
"2020-03-04 17:38:00","2020-03-05 01:38:00","ViacomCBS (VIAC) is seeking at least USD 1.2bln for Simon & Schuster, according to WSJ citing sources"
