"gmt_time","hk_time","subject"
"2020-01-07 23:57:00","2020-01-08 07:57:00","IRGC targeted Iraq's Al-Asad airbase, according to Iranian news agency Mehr"
"2020-01-07 23:55:00","2020-01-08 07:55:00","Shelling has reportedly stopped at the Al-Asad airbase in Iraq according to military sources cited by VOAnews, a total of around 35 rounds hit the base"
"2020-01-07 23:53:00","2020-01-08 07:53:00","Reports of rocket attacks on Erbil airport in Iraq, according to Al-Hadit "
"2020-01-07 23:44:00","2020-01-08 07:44:00","White House is aware of reports of the attacks on US facilities in Iraq and US President Trump is motoring the situation "
"2020-01-07 23:41:00","2020-01-08 07:41:00","Samsung Electronics (005930 KS) - Prelim Q4 revenue KRW 59tln vs. Exp. KRW 60.7tln, operating profit KRW 7.1tln vs. Exp. KRW 6.5tln"
"2020-01-07 23:39:00","2020-01-08 07:39:00","IRGC statement warns allied countries of the US ""that if attacks are launched from bases in their countries on Iran, they will be a target of military retaliation."", via NYT's Fassihi"
"2020-01-07 23:31:00","2020-01-08 07:31:00","Second round of shelling reported at Iraq's Al-Asad airbase, via Al-Mayadeen TV"
"2020-01-07 23:24:00","2020-01-08 07:24:00","SNAP ANALYSIS: RISK OFF AS IRANIAN FORCES ATTACK AL ASAD AIRBASE "
"2020-01-07 23:23:00","2020-01-08 07:23:00","US Official confirms that rockets have been fired at Al Asad airbase which hosts US forces"
"2020-01-07 23:22:00","2020-01-08 07:22:00","Iranian Revolutionary Guard Corp says it has fired ""tens of missiles"" at Al-Assad airbase in Iraq, via state media"
"2020-01-07 23:19:00","2020-01-08 07:19:00"," Initial-Iranian missile attack on US installations has begun, according to Iranian media cited by ELINT News"
"2020-01-07 23:14:00","2020-01-08 07:14:00","An explosion has been heard in Kurdistan capital Erbil, according to Al Mayadeen TV - No further details"
"2020-01-07 22:58:00","2020-01-08 06:58:00","Attack on Al-Assad Airbase in Iraq ongoing, reports rounds are still coming in and at least 30 have landed so far, according to VOANews Pentagon Correspondent Babb"
"2020-01-07 22:50:00","2020-01-08 06:50:00","Al-Asad airbase that houses US & coalition troops in Iraq has been hit with 6 rockets. Not clear if there are any casualties, according to Pentagon Correspondent for Al-Monitor Detsch citing a Defence Official"
"2020-01-07 22:44:00","2020-01-08 06:44:00","PRE-MARKET AUSTRALIAN STOCK NEWS: ASX 200 poised to open flat after Wall Street lost ground over Middle East tensions, and as oil prices retreated. (The Australian)"
"2020-01-07 22:30:00","2020-01-08 06:30:00","UK PM Johnson is poised to tell European Commission President von der Leyen that the UK will not extend trade deal talks beyond Dec 31st 2020 and talks will be based on a free-trade deal and not alignment, according to a statement"
"2020-01-07 22:21:00","2020-01-08 06:21:00","US troops at vulnerable Syrian bases are shoring up their defences and suspending operation meant to prevent IS fighters from regaining strength, according to WSJ citing US officials, adding that more forces are being deployed to the US Embassy in Baghdad"
"2020-01-07 22:07:00","2020-01-08 06:07:00","ASIAN DAILY ECONOMIC RELEASE CALENDAR IS AVAILABLE IN THE RESEARCH SECTION OF THE WEBSITE: Highlights include Japanese Average Cash Earnings and Australian Building Approvals"
"2020-01-07 22:00:00","2020-01-08 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2020-01-07 21:54:00","2020-01-08 05:54:00","DAILY ASIA-PAC OPENING NEWS"
"2020-01-07 21:45:00","2020-01-08 05:45:00","Reports suggest the sirens heard at the US Consulate are apparently tests, according to Elint News citing an Al-Mayadeen Correspondent"
"2020-01-07 21:43:00","2020-01-08 05:43:00","Markets have observed a risk off move with US equity futures and USDJPY moving lower whereas crude, T-notes and XAU have caught a bid amid unconfirmed reports of rockets hitting Camp Taji in Baghdad that is housing US Troops"
"2020-01-07 21:38:00","2020-01-08 05:38:00","(UNCONFIRMED) Reports suggest alarm sirens can be heard at the US Consulate in Erbil, Iraq, according to Egyptian Al-Ghad TV"
"2020-01-07 21:32:00","2020-01-08 05:32:00","US Private Inventory Crude Stocks (3rd Jan) -5.9mln (exp. -3.6mln, prev. -7.8mln)"
"2020-01-07 21:14:00","2020-01-08 05:14:00","Newsquawk US Market Wrap - 7th January 2020: Risk off moves pauses in anticipation of next Middle East escalation"
