"gmt_time","hk_time","subject"
"2020-04-24 20:43:00","2020-04-25 04:43:00","S&P: United Kingdom 'AA/A-1+' Ratings Affirmed; Outlook Stable"
"2020-04-24 20:23:00","2020-04-25 04:23:00","S&P: Greece Outlook Revised To Stable On Adverse Effects Of COVID-19; 'BB-/B' Ratings Affirmed"
"2020-04-24 20:17:00","2020-04-25 04:17:00","Newsquawk US Market Wrap - April 24th: Equities finish red on the week despite Friday rally "
"2020-04-24 20:17:00","2020-04-25 04:17:00","S&P: Portugal Outlook To Stable; 'BBB/A-2' Ratings Affirmed "
"2020-04-24 20:10:00","2020-04-25 04:10:00","Newsquawk Week in Focus - w/c 27th April 2020"
"2020-04-24 20:10:00","2020-04-25 04:10:00","Newsquawk Central Bank Weekly Briefing - 24th April 2020 - Previewing FOMC, ECB, BOJ, Riksbank; Reviewing RBA, RBNZ, CBRT, Banxico, CBR "
"2020-04-24 20:07:00","2020-04-25 04:07:00","S&P: Italy 'BBB/A-2' Ratings Affirmed; Outlook Negative"
"2020-04-24 20:05:00","2020-04-25 04:05:00","Fitch Affirms Netherlands at 'AAA'; Outlook Stable"
"2020-04-24 19:45:00","2020-04-25 03:45:00","CFTC FX commitment of traders report shows EUR longs at the highest in 22-months; specs add to USD shorts"
"2020-04-24 19:34:00","2020-04-25 03:34:00","T-NOTES (M0) SETTLED 3 TICKS HIGHER AT 139-03+."
"2020-04-24 19:25:00","2020-04-25 03:25:00","US COVID-19 cases +4.5% at 865,585 (Prev. 828,411); death toll +5.3% at 48,816 (prev. 46,379)"
"2020-04-24 19:09:00","2020-04-25 03:09:00","US President Trump tweets he would never let our Post Office fail"
"2020-04-24 19:05:00","2020-04-25 03:05:00","Dutch Finance Miniser Hoekstra announced a EUR 2-4bln support package for the dutch arm of Air France (AF FP), although details are still under consideration"
"2020-04-24 19:03:00","2020-04-25 03:03:00","BCB announce another spot dollar auction, according to traders"
"2020-04-24 18:57:00","2020-04-25 02:57:00","Brazil's Central Bank announced another spot dollar action; third spot dollar auction on the day, although size was not disclosed, minimum bid is USD 1mln"
"2020-04-24 18:36:00","2020-04-25 02:36:00","WTI (M0) SETTLES UP USD 0.44 AT USD 16.94/BBL; WTI (N0) SETTLES USD 0.22 LOWER AT USD 21.22/BBL; BRENT (M0) SETTLES UP USD 0.11 at 21.44/bbl; BRENT (N0) SETTLES UP 0.02 AT 24.81.BBL/BBL"
"2020-04-24 18:32:00","2020-04-25 02:32:00","US CBO sees the Federal budget deficit reaching USD 3.7trln in 2020"
"2020-04-24 18:21:00","2020-04-25 02:21:00","NY Fed cuts Treasuries/TIPS purchases to USD 10bln per day for next week (prev. USD 15bln)"
"2020-04-24 18:20:00","2020-04-25 02:20:00","Of note for Zoom (ZM) - Facebook (FB) is to roll out free calling for up to 50 people"
"2020-04-24 18:16:00","2020-04-25 02:16:00","US Oil Fund (USO) may allocate 20% of its portfolio in June contracts (prev. 20%), 40% in July futures (Prev. 50%), 20% in August (Prev. 20%) and 20% in September (Prev. 10%)"
"2020-04-24 18:05:00","2020-04-25 02:05:00","French Finance Minister Le Maire announced a EUR 7bln package for Air France (AF FP) and are working on a EUR 5bln package for Renault (RNO FP)"
