"gmt_time","hk_time","subject"
"2020-04-03 20:22:00","2020-04-04 04:22:00","S&P: France 'AA/A-1+' Ratings Affirmed; Outlook Stable"
"2020-04-03 20:13:00","2020-04-04 04:13:00","Newsquawk US Market Wrap - 3 April 2020: Crude surges again ahead of key OPEC call"
"2020-04-03 20:11:00","2020-04-04 04:11:00","S&P: Germany 'AAA/A-1+' Ratings Affirmed; Outlook Stable"
"2020-04-03 20:03:00","2020-04-04 04:03:00","Fitch Revises Belgium's Outlook to Negative; Affirms at AA-"
"2020-04-03 20:01:00","2020-04-04 04:01:00","Newsquawk Week in Focus - w/c 3rd April 2020 - OPEC meeting, Fed minutes, weekly jobless claims, BOC BOS, RBA, BOK"
"2020-04-03 19:56:00","2020-04-04 03:56:00","Fitch downgrades PEMEX IDR's to 'BB'; Outlook negative"
"2020-04-03 19:53:00","2020-04-04 03:53:00","Phillips 66 says its Gray Oak Pipeline, Texas will allow on-system crude storage due to the immediate need for temporary storage "
"2020-04-03 19:50:00","2020-04-04 03:50:00","FX CFTC data for week ending March 31, 2020; EUR longs continue to grow"
"2020-04-03 19:50:00","2020-04-04 03:50:00","MOC: SPX +350mln; DJ +250mln"
"2020-04-03 19:42:00","2020-04-04 03:42:00","US President Trump says the Energy Secretary should look at other areas to store oil; Energy Secretary Brouillette says they are still planning on purchasing oil despite the opposition"
"2020-04-03 19:28:00","2020-04-04 03:28:00","China is likely to issue CNY 3 to 4 trln (USD 423bln to 565bln) in special treasury bonds in 2020 to give the coronavirus -hit economy a much-needed shot in the arm, according to Global Times"
"2020-04-03 19:26:00","2020-04-04 03:26:00","Fed is unlikely to order big banks to suspend dividends, according to WSJ citing sources"
"2020-04-03 19:23:00","2020-04-04 03:23:00","US President Trump says we will work this out and we will get our energy business back, both Saudi Crown Prince and Russia President want something to happen; adds we will be looking seriously at an infrastructure package"
"2020-04-03 19:09:00","2020-04-04 03:09:00","NY Fed plans to purchase USD 200bln worth of treasury securities next week, USD 50bln per day on average through April 6-9th (Prev. USD 60bln a day)"
"2020-04-03 19:08:00","2020-04-04 03:08:00","T-Note (M0) futures settled 8 ticks higher at 139-04+"
"2020-04-03 18:37:00","2020-04-04 02:37:00","CBRT announced it has raised its limit in the lira to dollar swap market, according to bankers"
"2020-04-03 18:33:00","2020-04-04 02:33:00","WTI (K0) settles USD 3.02 higher at USD 28.34/bbl; Brent (M0) settles USD 4.17 higher at USD 34.11/bbl"
"2020-04-03 18:29:00","2020-04-04 02:29:00","ECB Board Members state the Corporate Commercial Paper market in the Eurozone currently stands at roughly EUR 75bln, says the decision to purchase corporate commercial paper contributed to a stabilisation in risk and market conditions "
"2020-04-03 18:11:00","2020-04-04 02:11:00","Fed Chair Powell had two phone calls with President Trump in February, according to his calendar"
"2020-04-03 18:11:00","2020-04-04 02:11:00","Kraft Heinz (KHC) CEO says business in China is now returning to normality, has drawn down USD 4bln of its revolving credit line but cash flow and liqudity are strong"
"2020-04-03 18:07:00","2020-04-04 02:07:00","Bank of Canada announced the activation of its Contingent Term Repo Facility (CTRF) from 6th April/Monday and will remain open for 12 months"
"2020-04-03 18:02:00","2020-04-04 02:02:00","Treasury Coupons 20 to 30 year sector (USD 4bln): offer-to-cover (prev. 2.12x)"
"2020-04-03 17:56:00","2020-04-04 01:56:00","Mexico's Energy Minister says new oil auctions are not under consideration and the government investment plan is to be announced in upcoming days which will include co-investment opportunities with Pemex by using incentivised service contract model"
"2020-04-03 17:52:00","2020-04-04 01:52:00","Texas Railroad Commissioner Sitton says he doesn't see the US having a long relationship with OPEC at all; Texas would agree to oil production curbs if President Trump reaches an international agreement, comments from CNBC interview"
"2020-04-03 17:30:00","2020-04-04 01:30:00","WHO says it is possible some element of airborne transmission could be seen in the spread of the coronavirus although the main driver is still symptomatic people coughing, sneezing or contaminting others and surfaces"
"2020-04-03 17:26:00","2020-04-04 01:26:00","NY Fed RRP operation demand falls by USD 34.5bln to USD 148.1bln across 34 bidders"
"2020-04-03 17:24:00","2020-04-04 01:24:00","Russian Energy Minister Novak says he understands that the US has legal restrictions on oil output cuts, but it should be flexible, according to RIA"
"2020-04-03 17:24:00","2020-04-04 01:24:00","Russia's Energy Minister Novak understands the legal issues surrounding US oil production cuts but says it should be flexible "
"2020-04-03 17:23:00","2020-04-04 01:23:00","TIPS 1 to 7.5 year sector (USD 3.5bln): offer-to-cover 1.83x (prev. 1.38x)"
"2020-04-03 17:15:00","2020-04-04 01:15:00","US President Trump tweets great news this week regarding the Keystone XL pipeline, says moving forward with fantastic paying construction jobs for hardworking Americans"
"2020-04-03 17:08:00","2020-04-04 01:08:00","France COVID-19 death toll rises +13.0% to 5,091 (prev. +11.7% to 4,503)"
"2020-04-03 17:01:00","2020-04-04 01:01:00","Baker Hughes US Rig Count (w/e April 3rd): Oil -62 at 562, Nat Gas -2 at 100, Total -64 at 664"
"2020-04-03 16:58:00","2020-04-04 00:58:00","Russia confirms it will partake in the OPEC+ meeting/video conference on Monday, according to Argus"
"2020-04-03 16:50:00","2020-04-04 00:50:00","CEO of Russia's Lukoil says we hope OPEC+ will decide on the volume of oil production cuts, Russian oil producers have agreed on talks with OPEC+, Russia will not increase production while talks are ongoing and hopes the US will partake in the talks"
"2020-04-03 16:45:00","2020-04-04 00:45:00","Canada's Deputy PM Freeland when asked about potential retaliation against the US blocking medical exports replies with Canada is prepared to do whatever it takes to defend national interests"
"2020-04-03 16:34:00","2020-04-04 00:34:00","Russia Energy Minister Novak spoke with Putin and told him we do not know when oil demand will reach its lows, it is unfortunate that Saudi Arabia announced plans to increase production "
"2020-04-03 16:30:00","2020-04-04 00:30:00","Russia President Putin spoke with US President Trump saying ""we are all worried about the situation"" and we are ready to act with the US on oil markets. adds Saudi plans to get rid of shale oil producers"
"2020-04-03 16:28:00","2020-04-04 00:28:00","US CDC says COVID-19 rise to 239,279 (prev. 213,144), death toll rises to 5,443 (prev. 4,513)"
"2020-04-03 16:27:00","2020-04-04 00:27:00","Russian President Putin says the situation on the global energy markets remains difficult and demand is falling, adding he is comfortable with oil at USD 42/bbl "
"2020-04-03 16:27:00","2020-04-04 00:27:00"," Treasury Coupons 2.25 to 4.5 year sector (USD 14bln): offer-to-cover 2.5x (prev. 2.09x)"
"2020-04-03 16:13:00","2020-04-04 00:13:00","Italy COVID-19 cases rise 4% to 119,827 (prev. +4.2% to 115,242), death toll rises 5.5% to 14,681 (prev. +6% to 13,915)"
"2020-04-03 16:12:00","2020-04-04 00:12:00","German Chancellor Merkel says it is too early to know when lockdowns will be eased; will depend on virus progress "
"2020-04-03 16:05:00","2020-04-04 00:05:00","Gulf OPEC states will reporteldy hold a conference call tonight, according to Energy Intel "
"2020-04-03 16:03:00","2020-04-04 00:03:00","US President Trump's administration is reportedly expected to use the coronavirus relief funds to pay hospitals that treat uninsured patients as long as they are not billed, according to WSJ"
"2020-04-03 15:51:00","2020-04-03 23:51:00","Fitch downgrades South Africa to BB; Outlook negative"
"2020-04-03 15:50:00","2020-04-03 23:50:00","Shell (RDS.A LN) Norco, Lousianna refinery (250k BPD) has reportedly restarted its coker, according to sources"
"2020-04-03 15:38:00","2020-04-03 23:38:00","Weekly FX Wrap: Dollar back on its reserve currency perch"
"2020-04-03 15:36:00","2020-04-03 23:36:00","Lombardy, Italy COVID-19 cases rise +12.6% to 1,455, death toll rises by 351 (prev. +367)"
"2020-04-03 15:34:00","2020-04-03 23:34:00","EUROPEAN PRELIMINARY CASH EQUITY CLOSES: EURO STOXX 50 (-0.8%) at 2667, FTSE 100 (-1.2%) at 5414, DAX (-0.46%) at 9527, CAC 40 (-1.57%) at 4155, IBEX 35 (+0.48%) at 6606, FTSE MIB (-2.05%) at 16490, SMI (-0.3%) at 9245"
"2020-04-03 15:32:00","2020-04-03 23:32:00","Canadian PM Trudeau says Canada is working with international partners to respond to challenges posed by OPEC and low oil prices; have direct communication with OPEC and is also talking to the US"
"2020-04-03 15:32:00","2020-04-03 23:32:00","Canadian PM Trudeau says Canada is working with international partners to respond to challenges posed by OPEC and low oil prices; have direct communication with OPEC and is also talking to the US"
"2020-04-03 15:21:00","2020-04-03 23:21:00","Treasury Coupons 20 to 30 year sector (USD 4bln): offer-to-cover 2.12x (prev. 1.70x)"
"2020-04-03 15:17:00","2020-04-03 23:17:00","NIH's Fauci says he has called for a federally mandated stay-at-home order, according to CNN"
